№;Code;Security name (rus);Security name (eng);Sector (rus);Sector (eng);Security status (rus);Security status (eng)
14;LSRG;"ПАО ""Группа ЛСР"", ао";"PJSC ""LSR Group"", Ordinary shares";Строительство;Construction;;
15;PIKK;"ПАО ""Группа Компаний ПИК"", ао";"PJSC ""PIK Group"", Ordinary shares";Строительство;Construction;;
16;SMLT;"ПАО ""ГК ""Самолет"", ао";"PJSC ""Samolet Group"", Ordinary shares";Строительство;Construction;;
17;ABIO;"ПАО ""Артген"", ао";"PJSC ""Artgen"", ordinary shares";Потребительский сектор;Consumer;;
18;AGRO;РОС АГРО ПЛС, ДР иностранного эмитента на акции (эмитент ДР —The Bank of New York Mellon Corporation);ROS AGRO PLC, DR (Issuer The Bank of New York Mellon Corporation);Потребительский сектор;Consumer;;
19;APTK;"ПАО ""Аптечная сеть 36,6"", ао";"PJSC ""Pharmacy Chain 36.6"", Ordinary shares";Потребительский сектор;Consumer;;
20;AQUA;"ПАО ""Русская Аквакультура""";"PJSC ""Russian Aquaculture"", Ordinary shares";Потребительский сектор;Consumer;;
21;AVAZ;"ПАО ""АВТОВАЗ"", ао";"PJSC ""AVTOVAZ"", Ordinary shares";Потребительский сектор;Consumer;Торги прекращены;Trading stopped
22;AVAZP;"ПАО ""АВТОВАЗ"", ап";"PJSC ""AVTOVAZ"", Preferred shares";Потребительский сектор;Consumer;Торги прекращены;Trading stopped
23;BELU;"ПАО ""Белуга Групп"", ао ";"PJSC ""Beluga Group"", Ordinary shares";Потребительский сектор;Consumer;;
24;DIXY;"ПАО ""ДИКСИ Групп"", ао";"PJSC ""DIXY GROUP"", Ordinary shares";Потребительский сектор;Consumer;Торги прекращены;Trading stopped
25;DSKY;"ПАО ""Детский мир"", ао";"PJSC ""Detsky mir"", Ordinary shares";Потребительский сектор;Consumer;;
26;FIVE;Икс 5 Ритейл Груп Н.В., ДР иностранного эмитента на акции (эмитент ДР — The Bank of New York Mellon Corporation);X5 Retail Group N.V., DR (Issuer The Bank of New York Mellon Corporation);Потребительский сектор;Consumer;;
27;FIXP;Фикс Прайс Груп Лтд, ДР иностранного эмитента на акции;Fix Price Group Ltd, Depository receipts;Потребительский сектор;Consumer;;
28;GCHE;"ПАО ""Группа Черкизово"", ао";"PJSC ""Cherkizovo Group"", Ordinary shares";Потребительский сектор;Consumer;;
29;GEMC;ЮНАЙТЕД МЕДИКАЛ ГРУП КИ ПИЭЛСИ, ДР;UNITED MEDICAL GROUP CY PLC, Depository receipts;Потребительский сектор;Consumer;;
30;HNFG;"ПАО ""ЭЙЧ ЭФ ДЖИ"", ао";HFG PJSC, ordinary shares;Потребительский сектор;Consumer;;
31;LENT;Лента Лтд., ао;Lenta Ltd., ordinary shares;Потребительский сектор;Consumer;;
32;MDMG;МД МЕДИКАЛ ГРУП ИНВЕСТМЕНТС ПЛС, ДР иностранного эмитента;MD MEDICAL GROUP INVESTMENTS PLC, DR (the issuer of depository receipts - JPMorgan Chase Bank, N.A.);Потребительский сектор;Consumer;;
33;MGNT;"ПАО ""Магнит"", ао";"PJSC ""Magnit"", Ordinary shares";Потребительский сектор;Consumer;;
34;MVID;"ПАО ""М.видео"", ао";"PJSC ""M.video"", Ordinary shares";Потребительский сектор;Consumer;;
35;OKEY;АО О'КЕЙ ГРУПП, ДР иностранного эмитента на акции;OKEY Group, Depository receipts;Потребительский сектор;Consumer;;
36;ORUP;"ПАО ""ОР"", ао";"PJSC ""OR"", Ordinary shares";Потребительский сектор;Consumer;Торги прекращены;Trading stopped
