	secid	ts	pr_open	pr_high	pr_low	pr_close	pr_change	trades	vol	val	pr_std	disb	pr_vwap	trades_b	vol_b	val_b	pr_vwap_b	trades_s	vol_s	val_s	pr_vwap_s
0	SBER	2023-12-01 10:05:00	277.04	277.86	276.67	277.31	0.0975	2225	80741	223654120.0	0.0001	0.01	277.0	1115	40756	112902165.0	277.02	1110	39985	110751955.0	276.98
1	SBER	2023-12-01 10:10:00	277.32	277.39	276.3	276.36	-0.3462	1744	69886	193436342.0	0.0001	-0.01	276.79	923	34540	95609891.0	276.81	821	35346	97826451.0	276.77
2	SBER	2023-12-01 10:15:00	276.37	276.52	275.83	275.88	-0.1773	1557	60859	168015549.0	0.0001	-0.15	276.07	775	25860	71394099.0	276.08	782	34999	96621449.0	276.07
3	SBER	2023-12-01 10:20:00	275.87	276.25	275.86	276.15	0.1015	1438	49739	137312544.0	0.0001	-0.01	276.07	723	24592	67890108.0	276.07	715	25147	69422435.0	276.07
4	SBER	2023-12-01 10:25:00	276.15	276.16	275.6	275.61	-0.1955	1510	53842	148521770.0	0.0	0.09	275.85	771	29265	80731043.0	275.86	739	24577	67790726.0	275.83
5	SBER	2023-12-01 10:30:00	275.63	275.63	275.33	275.35	-0.1016	1632	70445	194023041.0	0.0	-0.06	275.42	862	33219	91493249.0	275.42	770	37226	102529792.0	275.43
6	SBER	2023-12-01 10:35:00	275.36	276.36	275.33	275.88	0.1888	1617	47013	129700622.0	0.0001	0.04	275.88	766	24376	67245105.0	275.87	851	22637	62455516.0	275.9
7	SBER	2023-12-01 10:40:00	275.93	275.93	275.34	275.49	-0.1595	1012	20477	56421940.0	0.0	-0.03	275.54	510	9956	27434700.0	275.56	502	10521	28987239.0	275.52
8	SBER	2023-12-01 10:45:00	275.5	275.96	275.49	275.95	0.1633	839	13574	37428964.0	0.0	-0.04	275.74	426	6490	17897477.0	275.77	413	7084	19531487.0	275.71
9	SBER	2023-12-01 10:50:00	275.96	276.06	275.51	275.51	-0.1631	718	11793	32526151.0	0.0	0.08	275.81	366	6388	17619424.0	275.82	352	5405	14906727.0	275.8
10	SBER	2023-12-01 10:55:00	275.52	275.52	275.01	275.4	-0.0436	1434	50058	137764979.0	0.0	-0.04	275.21	730	23975	65980528.0	275.21	704	26083	71784451.0	275.22
11	SBER	2023-12-01 11:00:00	275.41	275.41	275.03	275.31	-0.0363	930	23743	65342091.0	0.0001	-0.08	275.21	455	10910	30023980.0	275.2	475	12833	35318110.0	275.21
12	SBER	2023-12-01 11:05:00	275.27	275.33	275.06	275.33	0.0218	706	16304	44868784.0	0.0	-0.2	275.2	352	6493	17869141.0	275.21	354	9811	26999642.0	275.2
13	SBER	2023-12-01 11:10:00	275.36	276.4	275.36	276.14	0.2833	1402	59454	164134862.0	0.0001	0.03	276.07	723	30728	84843962.0	276.11	679	28726	79290899.0	276.02
14	SBER	2023-12-01 11:15:00	276.13	276.64	276.03	276.54	0.1485	1260	46128	127451804.0	0.0001	-0.03	276.3	654	22458	62046145.0	276.28	606	23670	65405658.0	276.32
15	SBER	2023-12-01 11:20:00	276.53	276.54	275.85	276.31	-0.0796	973	17976	49650203.0	0.0001	-0.12	276.2	488	7928	21896488.0	276.19	485	10048	27753715.0	276.21
16	SBER	2023-12-01 11:25:00	276.3	276.5	276.02	276.44	0.0507	576	7008	19357066.0	0.0001	0.03	276.21	303	3606	9958629.0	276.17	273	3402	9398437.0	276.26
17	SBER	2023-12-01 11:30:00	276.45	276.55	276.3	276.49	0.0145	674	10602	29306883.0	0.0	0.0	276.43	340	5311	14681266.0	276.43	334	5291	14625617.0	276.42
18	SBER	2023-12-01 11:35:00	276.49	277.21	276.49	277.01	0.1881	1432	60090	166410663.0	0.0001	-0.13	276.94	675	26197	72552675.0	276.95	757	33893	93857987.0	276.92
19	SBER	2023-12-01 11:40:00	277.0	277.01	276.59	276.99	-0.0036	952	23036	63766755.0	0.0	0.17	276.81	495	13430	37175467.0	276.81	457	9606	26591288.0	276.82
20	SBER	2023-12-01 11:45:00	276.98	277.45	276.91	277.4	0.1516	1099	44704	123927718.0	0.0001	-0.24	277.22	531	17044	47247920.0	277.21	568	27660	76679798.0	277.22
21	SBER	2023-12-01 11:50:00	277.41	277.41	276.81	276.82	-0.2127	826	17699	49045449.0	0.0	-0.21	277.11	389	6956	19275928.0	277.11	437	10743	29769520.0	277.11
22	SBER	2023-12-01 11:55:00	276.82	276.82	276.57	276.74	-0.0289	783	17497	48413322.0	0.0	-0.05	276.69	392	8297	22956939.0	276.69	391	9200	25456382.0	276.7
23	SBER	2023-12-01 12:00:00	276.75	277.0	276.69	276.9	0.0542	604	13529	37457806.0	0.0001	-0.13	276.87	279	5916	16377818.0	276.84	325	7613	21079988.0	276.89
24	SBER	2023-12-01 12:05:00	276.9	277.1	276.68	277.0	0.0361	560	13666	37838945.0	0.0001	0.08	276.88	300	7361	20381419.0	276.88	260	6305	17457526.0	276.88
25	SBER	2023-12-01 12:10:00	277.02	277.31	276.76	276.77	-0.0902	664	27888	77301356.0	0.0001	-0.34	277.19	301	9262	25663840.0	277.09	363	18626	51637516.0	277.23
26	SBER	2023-12-01 12:15:00	276.78	276.78	276.21	276.31	-0.1698	825	15074	41674972.0	0.0	0.03	276.47	435	7754	21438603.0	276.48	390	7320	20236368.0	276.45
27	SBER	2023-12-01 12:20:00	276.32	276.61	276.31	276.5	0.0651	512	7793	21547925.0	0.0	-0.18	276.5	226	3213	8884006.0	276.5	286	4580	12663918.0	276.5
28	SBER	2023-12-01 12:25:00	276.51	276.72	276.5	276.6	0.0325	461	5671	15687125.0	0.0001	0.33	276.62	251	3768	10423019.0	276.62	210	1903	5264106.0	276.62
29	SBER	2023-12-01 12:30:00	276.61	276.75	276.52	276.53	-0.0289	518	6423	17769625.0	0.0	-0.18	276.66	257	2635	7290453.0	276.68	261	3788	10479171.0	276.64
30	SBER	2023-12-01 12:35:00	276.53	276.6	276.52	276.54	0.0036	363	3270	9043280.0	0.0	-0.16	276.55	186	1378	3810959.0	276.56	177	1892	5232320.0	276.55
31	SBER	2023-12-01 12:40:00	276.54	276.73	276.53	276.66	0.0434	494	4844	13399932.0	0.0	-0.14	276.63	270	2076	5742867.0	276.63	224	2768	7657065.0	276.63
32	SBER	2023-12-01 12:45:00	276.68	277.25	276.57	276.65	-0.0108	933	24951	69111571.0	0.0001	-0.02	276.99	446	12183	33744844.0	276.98	487	12768	35366727.0	277.0
33	SBER	2023-12-01 12:50:00	276.64	276.64	276.25	276.44	-0.0723	881	18438	50974347.0	0.0	-0.04	276.46	448	8855	24480940.0	276.46	433	9583	26493406.0	276.46
34	SBER	2023-12-01 12:55:00	276.45	276.77	276.44	276.61	0.0579	604	7871	21765449.0	0.0001	-0.22	276.53	279	3066	8478100.0	276.52	325	4805	13287349.0	276.53
35	SBER	2023-12-01 13:00:00	276.61	276.95	276.58	276.85	0.0868	650	7661	21197761.0	0.0001	0.04	276.7	340	3991	11043365.0	276.71	310	3670	10154395.0	276.69
36	SBER	2023-12-01 13:05:00	276.9	276.95	276.82	276.82	-0.0289	482	3678	10183114.0	0.0001	-0.17	276.87	217	1525	4222350.0	276.88	265	2153	5960763.0	276.86
37	SBER	2023-12-01 13:10:00	276.82	276.85	276.71	276.75	-0.0253	585	9533	26384853.0	0.0	-0.01	276.77	309	4724	13074337.0	276.76	276	4809	13310516.0	276.78
38	SBER	2023-12-01 13:15:00	276.72	277.05	276.72	277.02	0.1084	534	9410	26061533.0	0.0	0.04	276.96	242	4889	13540461.0	276.96	292	4521	12521071.0	276.95
39	SBER	2023-12-01 13:20:00	277.03	277.36	276.97	277.33	0.1083	712	19612	54367499.0	0.0001	-0.26	277.22	312	7243	20078538.0	277.21	400	12369	34288960.0	277.22
40	SBER	2023-12-01 13:25:00	277.34	277.65	277.34	277.65	0.1118	1187	41704	115713777.0	0.0	-0.1	277.46	558	18804	52175397.0	277.47	629	22900	63538380.0	277.46
41	SBER	2023-12-01 13:30:00	277.64	277.77	277.58	277.58	-0.0216	991	22903	63599116.0	0.0	0.08	277.69	526	12405	34446742.0	277.68	465	10498	29152373.0	277.69
42	SBER	2023-12-01 13:35:00	277.58	277.95	277.5	277.51	-0.0252	1363	72605	201686650.0	0.0	-0.13	277.79	665	31596	87773496.0	277.8	698	41009	113913153.0	277.78
43	SBER	2023-12-01 13:40:00	277.51	277.71	277.42	277.6	0.0324	901	15689	43545043.0	0.0	-0.03	277.55	431	7589	21063307.0	277.55	470	8100	22481735.0	277.55
44	SBER	2023-12-01 13:45:00	277.6	277.75	277.5	277.74	0.0504	825	15086	41884179.0	0.0	0.09	277.64	405	8226	22838531.0	277.64	420	6860	19045647.0	277.63
45	SBER	2023-12-01 13:50:00	277.77	277.98	277.63	277.67	-0.036	807	16047	44585627.0	0.0001	0.12	277.84	422	8949	24864198.0	277.84	385	7098	19721428.0	277.84
46	SBER	2023-12-01 13:55:00	277.64	277.7	277.57	277.59	-0.018	523	7968	22122655.0	0.0001	-0.01	277.64	259	3933	10919669.0	277.64	264	4035	11202986.0	277.65
47	SBER	2023-12-01 14:00:00	277.59	277.68	277.08	277.25	-0.1225	1026	23155	64214917.0	0.0001	0.04	277.33	513	12078	33495816.0	277.33	513	11077	30719100.0	277.32
48	SBER	2023-12-01 14:05:00	277.18	277.37	277.01	277.01	-0.0613	597	12470	34559391.0	0.0001	-0.4	277.14	278	3738	10359077.0	277.13	319	8732	24200313.0	277.15
