	secid	ts	pr_open	pr_high	pr_low	pr_close	pr_change	trades	vol	val	pr_std	disb	pr_vwap	trades_b	vol_b	val_b	pr_vwap_b	trades_s	vol_s	val_s	pr_vwap_s
49	SBER	2023-12-01 14:10:00	277.01	277.31	276.6	276.88	-0.0469	1135	35802	99153428.0	0.0001	-0.04	276.95	571	17101	47361783.0	276.95	564	18701	51791645.0	276.95
50	SBER	2023-12-01 14:15:00	276.88	276.89	276.5	276.57	-0.112	773	30442	84214011.0	0.0001	-0.08	276.64	375	14018	38778631.0	276.63	398	16424	45435379.0	276.64
51	SBER	2023-12-01 14:20:00	276.59	276.77	276.22	276.28	-0.1121	728	22604	62487593.0	0.0001	0.18	276.44	383	13290	36737972.0	276.43	345	9314	25749620.0	276.46
52	SBER	2023-12-01 14:25:00	276.29	276.71	276.25	276.69	0.1448	403	11143	30814333.0	0.0	-0.22	276.54	189	4367	12077066.0	276.55	214	6776	18737267.0	276.52
53	SBER	2023-12-01 14:30:00	276.7	276.95	276.54	276.8	0.0361	498	17532	48523621.0	0.0001	-0.17	276.77	230	7295	20190804.0	276.78	268	10237	28332816.0	276.77
54	SBER	2023-12-01 14:35:00	276.75	276.9	276.66	276.9	0.0542	382	8504	23534251.0	0.0001	0.34	276.74	209	5701	15777240.0	276.75	173	2803	7757010.0	276.74
55	SBER	2023-12-01 14:40:00	276.9	276.99	276.9	276.93	0.0108	383	7116	19706941.0	0.0001	0.07	276.94	193	3793	10504392.0	276.94	190	3323	9202549.0	276.93
56	SBER	2023-12-01 14:45:00	276.9	276.99	276.81	276.94	0.0144	372	3926	10872856.0	0.0001	-0.03	276.94	185	1897	5253656.0	276.95	187	2029	5619200.0	276.94
57	SBER	2023-12-01 14:50:00	276.97	277.22	276.92	277.2	0.083	709	18632	51615573.0	0.0	-0.08	277.03	366	8601	23826765.0	277.02	343	10031	27788808.0	277.03
58	SBER	2023-12-01 14:55:00	277.21	277.21	276.24	276.44	-0.2778	664	21334	58994752.0	0.0001	0.48	276.53	389	15798	43682136.0	276.5	275	5536	15312615.0	276.6
59	SBER	2023-12-01 15:00:00	276.46	276.46	276.0	276.01	-0.1628	1199	46002	127015835.0	0.0001	0.16	276.11	653	26682	73665868.0	276.09	546	19320	53349967.0	276.14
60	SBER	2023-12-01 15:05:00	276.01	276.25	275.65	276.25	0.087	1121	27963	77144360.0	0.0001	-0.11	275.88	560	12442	34325638.0	275.89	561	15521	42818722.0	275.88
61	SBER	2023-12-01 15:10:00	276.26	276.63	276.01	276.53	0.0977	917	23216	64155883.0	0.0001	0.04	276.34	458	12042	33277063.0	276.34	459	11174	30878819.0	276.35
62	SBER	2023-12-01 15:15:00	276.54	276.58	276.23	276.52	-0.0072	280	4572	12639234.0	0.0001	0.19	276.45	133	2712	7497587.0	276.46	147	1860	5141646.0	276.43
63	SBER	2023-12-01 15:20:00	276.52	276.56	276.18	276.2	-0.1157	283	3734	10317281.0	0.0001	-0.13	276.31	127	1628	4498681.0	276.33	156	2106	5818600.0	276.29
64	SBER	2023-12-01 15:25:00	276.2	276.41	275.75	275.77	-0.1557	617	18029	49774429.0	0.0001	-0.1	276.08	305	8068	22274924.0	276.09	312	9961	27499505.0	276.07
65	SBER	2023-12-01 15:30:00	275.76	275.92	275.25	275.5	-0.0943	1184	61405	169162461.0	0.0002	0.04	275.49	645	31900	87872410.0	275.46	539	29505	81290051.0	275.51
66	SBER	2023-12-01 15:35:00	275.53	275.55	275.01	275.32	-0.0762	1247	57486	158188595.0	0.0001	0.06	275.18	610	30550	84065499.0	275.17	637	26936	74123096.0	275.18
67	SBER	2023-12-01 15:40:00	275.36	275.4	274.5	274.66	-0.2542	2242	94236	259009134.0	0.0001	0.26	274.85	1318	59273	162913282.0	274.85	924	34963	96095851.0	274.85
68	SBER	2023-12-01 15:45:00	274.64	275.15	274.63	274.86	0.0801	1026	43196	118772864.0	0.0001	0.1	274.96	528	23822	65504996.0	274.98	498	19374	53267868.0	274.95
69	SBER	2023-12-01 15:50:00	274.91	275.33	274.86	275.13	0.08	1051	49063	134974059.0	0.0001	0.17	275.1	552	28622	78743656.0	275.12	499	20441	56230402.0	275.09
70	SBER	2023-12-01 15:55:00	275.17	275.39	275.11	275.36	0.069	496	12952	35656667.0	0.0001	0.04	275.3	245	6743	18562800.0	275.29	251	6209	17093866.0	275.31
71	SBER	2023-12-01 16:00:00	275.37	275.39	274.74	274.89	-0.1743	751	24832	68288761.0	0.0001	-0.14	275.0	356	10638	29257490.0	275.03	395	14194	39031270.0	274.98
72	SBER	2023-12-01 16:05:00	274.88	275.1	274.8	274.81	-0.0255	543	12546	34487664.0	0.0001	0.13	274.89	293	7082	19467297.0	274.88	250	5464	15020366.0	274.9
73	SBER	2023-12-01 16:10:00	274.81	275.22	274.7	275.21	0.1456	610	27660	76023115.0	0.0001	-0.3	274.85	304	9700	26661178.0	274.86	306	17960	49361937.0	274.84
74	SBER	2023-12-01 16:15:00	275.22	275.29	274.85	275.15	-0.0254	467	15445	42486747.0	0.0002	-0.33	275.08	217	5155	14181129.0	275.09	250	10290	28305618.0	275.08
75	SBER	2023-12-01 16:20:00	275.14	275.21	275.05	275.1	-0.0145	381	8595	23646121.0	0.0	0.29	275.11	198	5562	15301886.0	275.11	183	3033	8344235.0	275.11
76	SBER	2023-12-01 16:25:00	275.1	275.44	275.1	275.34	0.0872	485	15468	42595717.0	0.0001	-0.07	275.38	240	7209	19852200.0	275.38	245	8259	22743516.0	275.38
77	SBER	2023-12-01 16:30:00	275.3	275.4	275.3	275.38	0.0291	250	3322	9146624.0	0.0001	0.12	275.33	124	1859	5118467.0	275.33	126	1463	4028157.0	275.34
78	SBER	2023-12-01 16:35:00	275.35	275.47	275.34	275.36	0.0036	333	8566	23592281.0	0.0	-0.12	275.42	158	3782	10415988.0	275.41	175	4784	13176293.0	275.42
79	SBER	2023-12-01 16:40:00	275.39	275.46	275.38	275.45	0.0218	274	2165	5962818.0	0.0	0.2	275.42	149	1299	3577657.0	275.42	125	866	2385161.0	275.42
80	SBER	2023-12-01 16:45:00	275.46	275.48	275.06	275.11	-0.1271	534	12971	35701023.0	0.0001	0.1	275.24	274	7149	19677060.0	275.24	260	5822	16023963.0	275.23
81	SBER	2023-12-01 16:50:00	275.09	275.09	274.74	275.02	-0.0254	665	15415	42376937.0	0.0	-0.09	274.91	330	7026	19314310.0	274.9	335	8389	23062627.0	274.92
82	SBER	2023-12-01 16:55:00	275.03	275.05	274.81	275.05	0.0073	548	13090	35987406.0	0.0001	0.23	274.92	291	8053	22139379.0	274.92	257	5037	13848026.0	274.93
83	SBER	2023-12-01 17:00:00	275.0	275.22	274.9	274.99	-0.0036	476	12536	34476616.0	0.0001	0.26	275.02	244	7929	21806843.0	275.03	232	4607	12669773.0	275.01
84	SBER	2023-12-01 17:05:00	275.01	275.1	274.9	274.94	-0.0255	596	10757	29577893.0	0.0001	0.04	274.96	303	5606	15414844.0	274.97	293	5151	14163048.0	274.96
85	SBER	2023-12-01 17:10:00	274.98	274.98	274.81	274.83	-0.0545	590	15827	43504548.0	0.0001	-0.06	274.88	268	7419	20392971.0	274.87	322	8408	23111576.0	274.88
86	SBER	2023-12-01 17:15:00	274.82	274.89	274.73	274.81	-0.0036	533	8291	22782515.0	0.0001	0.19	274.79	288	4937	13566364.0	274.79	245	3354	9216151.0	274.78
87	SBER	2023-12-01 17:20:00	274.8	274.99	274.75	274.99	0.0691	546	14291	39283666.0	0.0	-0.06	274.88	286	6730	18499714.0	274.88	260	7561	20783951.0	274.88
88	SBER	2023-12-01 17:25:00	274.97	275.25	274.94	275.05	0.0291	592	11589	31882331.0	0.0001	0.01	275.11	292	5838	16060800.0	275.11	300	5751	15821531.0	275.11
89	SBER	2023-12-01 17:30:00	275.06	275.06	273.9	274.29	-0.2799	2793	146210	400958476.0	0.0002	0.3	274.23	1699	94943	260330764.0	274.2	1094	51267	140627711.0	274.3
90	SBER	2023-12-01 17:35:00	274.25	274.39	273.72	273.77	-0.175	1606	66097	181032999.0	0.0001	0.01	273.89	830	33255	91078284.0	273.88	776	32842	89954715.0	273.9
91	SBER	2023-12-01 17:40:00	273.77	274.3	273.55	274.25	0.1753	1242	58608	160471290.0	0.0001	0.07	273.8	606	31494	86236391.0	273.82	636	27114	74234898.0	273.79
92	SBER	2023-12-01 17:45:00	274.24	274.57	274.18	274.33	0.0328	905	23896	65569290.0	0.0001	0.01	274.39	430	12032	33015022.0	274.39	475	11864	32554268.0	274.4
93	SBER	2023-12-01 17:50:00	274.33	274.55	274.03	274.51	0.0656	884	27739	76075943.0	0.0001	-0.08	274.26	469	12819	35157011.0	274.26	415	14920	40918931.0	274.26
94	SBER	2023-12-01 17:55:00	274.53	274.9	274.5	274.88	0.1275	829	28334	77837611.0	0.0001	0.11	274.71	411	15712	43164441.0	274.72	418	12622	34673170.0	274.7
95	SBER	2023-12-01 18:00:00	274.85	275.08	274.74	274.77	-0.0291	730	24024	66051465.0	0.0001	-0.04	274.94	352	11551	31758003.0	274.94	378	12473	34293462.0	274.94
96	SBER	2023-12-01 18:05:00	274.74	275.25	274.74	274.91	0.0619	731	22998	63265227.0	0.0001	-0.02	275.09	364	11269	31000083.0	275.09	367	11729	32265143.0	275.09
97	SBER	2023-12-01 18:10:00	274.91	275.25	274.8	274.81	-0.0364	670	18473	50805488.0	0.0001	-0.1	275.03	325	8302	22832818.0	275.03	345	10171	27972670.0	275.02
98	SBER	2023-12-01 18:15:00	274.81	276.0	274.72	275.24	0.1565	1252	102818	283251625.0	0.0007	-0.42	275.49	564	29654	81615197.0	275.22	688	73164	201636428.0	275.6
99	SBER	2023-12-01 18:20:00	275.23	275.33	274.74	274.77	-0.1671	569	19046	52378050.0	0.0001	0.07	275.01	300	10211	28080063.0	275.0	269	8835	24297986.0	275.02
100	SBER	2023-12-01 18:25:00	274.75	274.77	274.25	274.51	-0.0874	725	26566	72914613.0	0.0001	-0.11	274.47	336	11883	32616771.0	274.48	389	14683	40297842.0	274.45
101	SBER	2023-12-01 18:30:00	274.58	274.93	274.57	274.81	0.0838	398	8458	23236704.0	0.0	-0.17	274.73	197	3519	9668588.0	274.75	201	4939	13568116.0	274.71
102	SBER	2023-12-01 18:35:00	274.86	275.16	274.8	274.98	0.0437	412	11363	31250620.0	0.0001	-0.22	275.02	195	4423	12164194.0	275.02	217	6940	19086425.0	275.02
103	SBER	2023-12-01 18:40:00	274.95	275.56	274.88	275.01	0.0218	721	38315	105437992.0	0.0002	0.0	275.19	361	19109	52579247.0	275.15	360	19206	52858744.0	275.22
104	SBER	2023-12-04 10:05:00	273.59	273.59	271.64	272.0	-0.5812	5993	253260	690155181.0	0.0002	-0.05	272.51	2982	119794	326434327.0	272.5	3011	133466	363720853.0	272.52
105	SBER	2023-12-04 10:10:00	272.0	272.05	270.76	271.36	-0.2353	4558	226442	614446711.0	0.0001	-0.01	271.35	2223	111905	303653778.0	271.35	2335	114537	310792933.0	271.35
106	SBER	2023-12-04 10:15:00	271.35	272.2	270.8	272.15	0.2948	3123	141746	384815745.0	0.0001	0.0	271.48	1558	70565	191549595.0	271.45	1565	71181	193266150.0	271.51
107	SBER	2023-12-04 10:20:00	272.13	272.22	271.81	271.83	-0.1102	2100	75361	204995228.0	0.0001	0.04	272.02	1109	39063	106257997.0	272.02	991	36298	98737230.0	272.02
108	SBER	2023-12-04 10:25:00	271.83	272.21	271.7	272.2	0.1361	1977	79263	215567516.0	0.0001	-0.01	271.96	967	39288	106856793.0	271.98	1010	39975	108710722.0	271.95
109	SBER	2023-12-04 10:30:00	272.2	272.75	272.13	272.45	0.0918	2414	113602	309556677.0	0.0001	-0.05	272.49	1206	53797	146590105.0	272.49	1208	59805	162966572.0	272.5
110	SBER	2023-12-04 10:35:00	272.42	272.52	271.69	272.38	-0.0147	1751	50522	137460932.0	0.0001	0.04	272.08	889	26374	71750919.0	272.05	862	24148	65710012.0	272.11
111	SBER	2023-12-04 10:40:00	272.39	272.73	272.15	272.64	0.0918	1439	52316	142572335.0	0.0	0.07	272.52	739	27942	76144575.0	272.51	700	24374	66427759.0	272.54
112	SBER	2023-12-04 10:45:00	272.63	273.1	272.45	273.1	0.1724	1963	87433	238512693.0	0.0001	0.02	272.79	1003	44776	122150093.0	272.8	960	42657	116362599.0	272.79
113	SBER	2023-12-04 10:50:00	273.09	273.48	273.02	273.21	0.0439	1554	53761	146898938.0	0.0	0.02	273.24	769	27518	75189062.0	273.24	785	26243	71709875.0	273.25
114	SBER	2023-12-04 10:55:00	273.21	273.24	272.8	272.9	-0.1135	1239	35003	95541906.0	0.0	-0.03	272.95	588	16975	46335418.0	272.96	651	18028	49206487.0	272.94
115	SBER	2023-12-04 11:00:00	272.91	272.93	272.8	272.83	-0.0293	938	20469	55842432.0	0.0	-0.02	272.81	482	10052	27423270.0	272.81	456	10417	28419161.0	272.82
116	SBER	2023-12-04 11:05:00	272.84	273.25	272.8	273.15	0.1136	843	20681	56467326.0	0.0	-0.14	273.04	410	8869	24212818.0	273.01	433	11812	32254507.0	273.07
117	SBER	2023-12-04 11:10:00	273.15	273.48	273.15	273.26	0.0403	940	44168	120729670.0	0.0	0.03	273.34	488	22662	61948659.0	273.36	452	21506	58781011.0	273.32
118	SBER	2023-12-04 11:15:00	273.26	273.3	272.72	272.73	-0.194	714	30905	84357559.0	0.0001	-0.05	272.96	382	14747	40257082.0	272.98	332	16158	44100477.0	272.93
119	SBER	2023-12-04 11:20:00	272.72	272.73	271.75	272.34	-0.1393	3851	61618	167700008.0	0.0	0.12	272.16	2128	34653	94307449.0	272.15	1723	26965	73392559.0	272.18
120	SBER	2023-12-04 11:25:00	272.34	272.34	272.0	272.11	-0.0845	600	21026	57226270.0	0.0	0.27	272.17	277	13346	36328953.0	272.21	323	7680	20897316.0	272.1
121	SBER	2023-12-04 11:30:00	272.12	272.45	272.0	272.42	0.1102	562	20305	55264230.0	0.0	0.12	272.17	289	11355	30903993.0	272.16	273	8950	24360237.0	272.18
122	SBER	2023-12-04 11:35:00	272.43	272.5	272.4	272.4	-0.011	479	11931	32507640.0	0.0	0.07	272.46	237	6363	17336984.0	272.47	242	5568	15170655.0	272.46
123	SBER	2023-12-04 11:40:00	272.36	272.4	272.0	272.35	-0.0037	607	15564	42355935.0	0.0	0.1	272.14	302	8566	23310016.0	272.12	305	6998	19045919.0	272.16
124	SBER	2023-12-04 11:45:00	272.34	272.34	272.0	272.0	-0.1248	528	19339	52609342.0	0.0	0.15	272.04	262	11092	30173856.0	272.03	266	8247	22435485.0	272.04
125	SBER	2023-12-04 11:50:00	272.0	272.44	272.0	272.39	0.1434	589	15562	42346564.0	0.0	-0.1	272.12	292	7024	19114836.0	272.14	297	8538	23231728.0	272.1
126	SBER	2023-12-04 11:55:00	272.38	272.39	272.08	272.17	-0.0771	630	16672	45379012.0	0.0001	0.16	272.19	316	9698	26395051.0	272.17	314	6974	18983960.0	272.21
127	SBER	2023-12-04 12:00:00	272.16	273.0	272.16	273.0	0.3086	710	23284	63456717.0	0.0	-0.04	272.53	351	11201	30531819.0	272.58	359	12083	32924898.0	272.49
128	SBER	2023-12-04 12:05:00	273.0	273.45	272.99	273.01	0.0037	847	33384	91185502.0	0.0001	0.09	273.14	438	18234	49803142.0	273.13	409	15150	41382360.0	273.15
129	SBER	2023-12-04 12:10:00	273.01	273.01	272.7	272.95	-0.022	468	17432	47561190.0	0.0001	-0.3	272.84	214	6114	16679478.0	272.81	254	11318	30881711.0	272.85
130	SBER	2023-12-04 12:15:00	272.95	273.24	272.95	273.19	0.0879	370	7718	21082586.0	0.0001	0.02	273.16	183	3940	10762193.0	273.15	187	3778	10320392.0	273.17
131	SBER	2023-12-04 12:20:00	273.18	273.25	273.09	273.09	-0.0329	463	12991	35485266.0	0.0001	-0.03	273.15	241	6309	17233168.0	273.15	222	6682	18252098.0	273.15
132	SBER	2023-12-04 12:25:00	273.1	273.11	273.01	273.01	-0.033	409	10435	28491949.0	0.0	0.31	273.04	193	6835	18662309.0	273.04	216	3600	9829640.0	273.05
133	SBER	2023-12-04 12:30:00	273.01	273.2	272.8	273.2	0.0696	491	22938	62614479.0	0.0	0.33	272.97	253	15288	41732886.0	272.98	238	7650	20881593.0	272.96
134	SBER	2023-12-04 12:35:00	273.2	273.69	273.2	273.69	0.1794	1087	40075	109619845.0	0.0	0.1	273.54	562	22095	60438366.0	273.54	525	17980	49181478.0	273.53
135	SBER	2023-12-04 12:40:00	273.69	273.89	273.59	273.65	-0.0146	782	19627	53735721.0	0.0	0.04	273.78	369	10219	27978646.0	273.79	413	9408	25757075.0	273.78
136	SBER	2023-12-04 12:45:00	273.65	274.0	273.64	273.99	0.1242	904	40839	111880823.0	0.0	0.24	273.96	523	25223	69099176.0	273.95	381	15616	42781647.0	273.96
137	SBER	2023-12-04 12:50:00	273.99	274.5	273.99	274.5	0.1861	1179	45850	125736159.0	0.0	-0.34	274.23	555	15093	41398398.0	274.29	624	30757	84337761.0	274.21
138	SBER	2023-12-04 12:55:00	274.5	274.64	274.25	274.48	-0.0073	968	34830	95600382.0	0.0001	0.14	274.48	480	19884	54576574.0	274.47	488	14946	41023808.0	274.48
139	SBER	2023-12-04 13:00:00	274.46	274.48	274.04	274.37	-0.0328	537	24882	68247516.0	0.0001	-0.02	274.28	236	12164	33368540.0	274.32	301	12718	34878976.0	274.25
140	SBER	2023-12-04 13:05:00	274.38	274.95	274.3	274.71	0.1203	2206	71126	195360929.0	0.0	0.0	274.67	1026	35552	97643403.0	274.65	1180	35574	97717526.0	274.69
141	SBER	2023-12-04 13:10:00	274.68	274.86	274.11	274.17	-0.1857	782	33560	92118797.0	0.0001	-0.03	274.49	361	16246	44600896.0	274.53	421	17314	47517900.0	274.45
142	SBER	2023-12-04 13:15:00	274.15	274.18	273.65	273.72	-0.1568	692	35874	98263598.0	0.0	-0.15	273.91	361	15315	41949401.0	273.91	331	20559	56314197.0	273.92
143	SBER	2023-12-04 13:20:00	273.73	274.32	273.7	274.31	0.2119	856	37441	102579383.0	0.0001	0.02	273.98	432	19150	52464890.0	273.97	424	18291	50114492.0	273.98
144	SBER	2023-12-04 13:25:00	274.28	274.39	274.21	274.26	-0.0073	556	20105	55150757.0	0.0	-0.2	274.31	256	8080	22164819.0	274.32	300	12025	32985938.0	274.31
