Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2013-11-07 00:00:00-05:00,45.099998474121094,50.09000015258789,44.0,44.900001525878906,117701670,0,0
2013-11-12 00:00:00-05:00,43.65999984741211,43.779998779296875,41.83000183105469,41.900001525878906,6316755,0,0
2013-11-22 00:00:00-05:00,41.810001373291016,42.279998779296875,40.970001220703125,41.0,6185245,0,0
2013-11-27 00:00:00-05:00,40.470001220703125,41.400001525878906,40.349998474121094,40.900001525878906,5536322,0,0
2013-12-02 00:00:00-05:00,41.790000915527344,42.0,40.400001525878906,40.779998779296875,6427386,0,0
2013-12-12 00:00:00-05:00,52.20000076293945,55.869998931884766,50.689998626708984,55.33000183105469,23446870,0,0
2013-12-17 00:00:00-05:00,56.970001220703125,57.380001068115234,54.619998931884766,56.45000076293945,22115199,0,0
2013-12-27 00:00:00-05:00,70.0999984741211,71.25,63.689998626708984,63.75,60418668,0,0
2014-01-06 00:00:00-05:00,64.83000183105469,66.87000274658203,63.5,66.29000091552734,27303649,0,0
2014-01-16 00:00:00-05:00,61.45000076293945,62.400001525878906,60.459999084472656,60.56999969482422,16755251,0,0
2014-01-21 00:00:00-05:00,63.33000183105469,63.439998626708984,61.5,62.529998779296875,13739691,0,0
2014-01-31 00:00:00-05:00,63.38999938964844,65.37000274658203,62.650001525878906,64.5,15527717,0,0
2014-02-05 00:00:00-05:00,67.16000366210938,67.23999786376953,64.80000305175781,65.97000122070312,34001488,0,0
2014-02-10 00:00:00-05:00,54.5,54.59000015258789,52.34000015258789,52.91999816894531,15883618,0,0
2014-02-20 00:00:00-05:00,55.81999969482422,57.08000183105469,54.650001525878906,56.630001068115234,12109533,0,0
2014-02-25 00:00:00-05:00,55.88999938964844,55.95000076293945,54.5,54.959999084472656,9301175,0,0
2014-03-07 00:00:00-05:00,55.18000030517578,55.20000076293945,53.310001373291016,53.529998779296875,7325092,0,0
2014-03-12 00:00:00-04:00,54.25,55.29999923706055,53.880001068115234,54.5,5839493,0,0
2014-03-17 00:00:00-04:00,52.08000183105469,52.4900016784668,51.349998474121094,52.04999923706055,6600907,0,0
2014-03-27 00:00:00-04:00,45.09000015258789,46.400001525878906,43.310001373291016,46.31999969482422,15507597,0,0
2014-04-01 00:00:00-04:00,46.709999084472656,47.59000015258789,46.18000030517578,46.97999954223633,6916147,0,0
2014-04-11 00:00:00-04:00,40.790000915527344,41.099998474121094,39.68000030517578,40.04999923706055,9999669,0,0
2014-04-16 00:00:00-04:00,45.41999816894531,45.560001373291016,43.540000915527344,44.41999816894531,13919567,0,0
2014-04-21 00:00:00-04:00,44.959999084472656,46.29999923706055,44.63999938964844,46.130001068115234,6930984,0,0
2014-05-01 00:00:00-04:00,39.0099983215332,40.77000045776367,38.965999603271484,39.09000015258789,15759771,0,0
2014-05-06 00:00:00-04:00,35.61000061035156,36.099998474121094,31.719999313354492,31.850000381469727,134709976,0,0
2014-05-16 00:00:00-04:00,32.95000076293945,33.209999084472656,32.02000045776367,32.2599983215332,21391370,0,0
