<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;W;15/11/10;00:00:00;172.0000000;173.2000000;167.6600000;172.2000000;190400970
GAZP;W;22/11/10;00:00:00;172.9800000;175.1000000;165.6000000;174.4900000;308187888
GAZP;W;29/11/10;00:00:00;175.5000000;193.3000000;172.2000000;190.7000000;579196561
GAZP;W;06/12/10;00:00:00;191.1100000;196.3000000;189.7100000;192.8700000;374519255
GAZP;W;13/12/10;00:00:00;194.1000000;198.1500000;192.6000000;194.1100000;313218609
GAZP;W;20/12/10;00:00:00;193.8400000;197.8400000;192.8500000;195.3200000;152404795
GAZP;W;27/12/10;00:00:00;195.0800000;195.8000000;191.5200000;193.5000000;79232570
GAZP;W;10/01/11;00:00:00;193.9200000;202.8500000;191.9800000;195.9200000;244013213
GAZP;W;17/01/11;00:00:00;195.9900000;201.3500000;191.8100000;192.7100000;329615151
GAZP;W;24/01/11;00:00:00;193.5700000;202.2400000;187.2600000;199.7000000;422670159
GAZP;W;31/01/11;00:00:00;198.4800000;213.7500000;195.8300000;213.3000000;482232776
GAZP;W;07/02/11;00:00:00;213.9000000;216.6500000;205.2200000;208.5000000;438199974
GAZP;W;14/02/11;00:00:00;210.0100000;211.4800000;194.1200000;195.5000000;397238251
GAZP;W;21/02/11;00:00:00;196.2900000;211.2500000;194.8500000;209.3000000;350568271
GAZP;W;28/02/11;00:00:00;210.2900000;215.3000000;207.2500000;214.1200000;384701479
GAZP;W;07/03/11;00:00:00;214.3900000;216.1200000;204.0000000;209.1000000;200938130
GAZP;W;14/03/11;00:00:00;208.0900000;226.8900000;207.9100000;224.1000000;645431770
GAZP;W;21/03/11;00:00:00;225.0200000;226.1500000;219.2000000;222.8100000;309244940
GAZP;W;28/03/11;00:00:00;223.0100000;235.4000000;222.5100000;235.1000000;341356660
GAZP;W;04/04/11;00:00:00;235.9800000;243.7000000;235.1700000;243.2000000;382499040
GAZP;W;11/04/11;00:00:00;243.5100000;247.4700000;226.9000000;227.6000000;443319590
GAZP;W;18/04/11;00:00:00;227.7000000;237.2700000;217.0000000;236.8900000;341583940
GAZP;W;25/04/11;00:00:00;238.0300000;239.7700000;228.1500000;231.7800000;294470100
GAZP;W;02/05/11;00:00:00;231.0200000;232.0000000;204.7000000;211.6800000;398044040
GAZP;W;09/05/11;00:00:00;210.6800000;217.1900000;200.6200000;201.0800000;297017260
GAZP;W;16/05/11;00:00:00;199.2800000;206.1600000;195.6000000;196.9000000;355868800
GAZP;W;23/05/11;00:00:00;194.9900000;202.5000000;190.0500000;201.8200000;367093910
GAZP;W;30/05/11;00:00:00;201.8000000;207.7500000;195.1100000;196.5500000;317187960
GAZP;W;06/06/11;00:00:00;196.5000000;212.4900000;194.0700000;209.2100000;395268690
