Date,Open,High,Low,Close,Volume
2010-11-15,3470.0,3580.95,3455.0,3559.97,60332
2010-11-22,3579.0,3645.0,3545.9,3624.89,48992
2010-11-29,3629.6,3934.0,3590.02,3880.0,40030
2010-12-06,3889.43,4195.86,3820.01,4130.01,39125
2010-12-13,4150.05,4200.0,3910.0,3955.0,62611
2010-12-20,3955.0,4096.08,3877.77,4056.01,50779
2010-12-27,4089.96,4089.97,3950.0,4079.98,20745
2011-01-10,4098.98,4495.99,4079.97,4343.0,50112
2011-01-17,4380.0,4395.0,4122.16,4149.0,87960
2011-01-24,4150.12,4300.0,3865.0,3940.0,125954
2011-01-31,3899.0,4139.89,3810.0,3860.0,89311
2011-02-07,3884.98,3884.99,3660.0,3720.0,72245
2011-02-14,3725.0,3849.99,3724.99,3820.0,38063
2011-02-21,3820.0,3830.0,3570.0,3695.0,41358
2011-02-28,3710.0,3920.0,3695.01,3877.2,63255
2011-03-07,3899.6,3937.9,3700.0,3785.9,34463
2011-03-14,3770.0,3838.3,3601.8,3770.1,100129
2011-03-21,3800.1,4047.0,3750.1,3998.9,88951
2011-03-28,3983.7,4088.9,3874.0,3983.8,67630
2011-04-04,3983.9,3983.9,3800.2,3821.5,59249
2011-04-11,3844.9,3877.0,3735.0,3764.5,80579
2011-04-18,3776.3,3839.5,3572.0,3720.0,123442
2011-04-25,3748.5,3899.7,3590.2,3646.6,52682
2011-05-02,3642.1,3720.0,3451.6,3710.0,90895
2011-05-09,3700.5,3888.9,3603.5,3660.0,77419
2011-05-16,3650.0,3768.0,3601.0,3709.3,75964
2011-05-23,3709.3,3900.0,3610.0,3860.0,156115
2011-05-30,3874.4,3999.9,3800.7,3840.3,97031
2011-06-06,3840.0,3960.0,3751.2,3865.0,51943
2011-06-13,3857.8,4050.0,3833.2,3875.7,105072
2011-06-20,3851.9,3888.5,3750.8,3780.0,108600
2011-06-27,3780.1,4000.0,3701.6,3965.1,230867
2011-07-04,4000.1,4144.0,3870.9,4025.0,74729
2011-07-11,4040.0,4049.7,3894.0,3949.6,87457
2011-07-18,3922.4,4100.0,3860.0,3951.0,94957
2011-07-25,3942.0,4000.0,3860.4,3955.0,88160
2011-08-01,3973.1,4036.1,3563.0,3625.4,143006
2011-08-08,3545.1,3680.0,2882.5,3210.0,303353
2011-08-15,3235.6,3389.9,2990.0,3190.0,198271
2011-08-22,3010.0,3360.0,2810.0,2891.5,190817
2011-08-29,2933.4,3195.9,2911.9,3089.0,117325
2011-09-05,3050.0,3215.0,3010.0,3029.0,85205
2011-09-12,3000.0,3210.0,2857.1,3174.0,235548
2011-09-19,3137.5,3217.3,2780.0,2850.0,144407
2011-09-26,2835.1,3076.0,2750.0,2765.6,187640
2011-10-03,2701.2,2930.0,2560.0,2886.9,220775
2011-10-10,2920.0,2944.0,2612.9,2737.6,268161
