<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,W,15/11/10,00:00:00,1739.0000000,1763.0000000,1710.0000000,1745.6400000,6729319
LKOH,W,22/11/10,00:00:00,1748.9100000,1760.2300000,1691.0000000,1713.3500000,7976559
LKOH,W,29/11/10,00:00:00,1717.5700000,1835.0700000,1680.0100000,1812.0000000,12680153
LKOH,W,06/12/10,00:00:00,1816.0000000,1874.0000000,1747.0000000,1770.0000000,13035979
LKOH,W,13/12/10,00:00:00,1776.9300000,1787.0000000,1728.0000000,1761.9000000,9012938
LKOH,W,20/12/10,00:00:00,1761.0000000,1768.5000000,1736.0100000,1752.0000000,5569947
LKOH,W,27/12/10,00:00:00,1750.1800000,1753.5300000,1729.1000000,1742.0000000,2685113
LKOH,W,10/01/11,00:00:00,1753.8400000,1916.7600000,1753.5600000,1893.0000000,11630914
LKOH,W,17/01/11,00:00:00,1894.0000000,1947.0000000,1875.1600000,1931.0000000,10888861
LKOH,W,24/01/11,00:00:00,1932.1200000,1932.9900000,1844.0000000,1849.0500000,10900287
LKOH,W,31/01/11,00:00:00,1840.0000000,1981.5700000,1813.8800000,1965.0000000,13388130
LKOH,W,07/02/11,00:00:00,1969.1900000,1980.9800000,1880.1900000,1932.8600000,9619719
LKOH,W,14/02/11,00:00:00,1941.0000000,1943.7000000,1884.0000000,1923.1700000,6703062
LKOH,W,21/02/11,00:00:00,1925.0000000,2019.1800000,1916.0000000,2006.0100000,9998532
LKOH,W,28/02/11,00:00:00,2003.2200000,2068.7000000,1991.2300000,2065.5000000,10372779
LKOH,W,07/03/11,00:00:00,2074.9000000,2090.0000000,1970.2000000,1991.5000000,7389621
LKOH,W,14/03/11,00:00:00,1980.2000000,2023.0000000,1921.9000000,2012.0000000,13888952
LKOH,W,21/03/11,00:00:00,2027.0000000,2051.0000000,1958.6000000,2046.3000000,10475095
LKOH,W,28/03/11,00:00:00,2043.9000000,2065.8000000,1976.7000000,2057.0000000,10062959
LKOH,W,04/04/11,00:00:00,2062.7000000,2084.1000000,2027.2000000,2047.1000000,10964314
LKOH,W,11/04/11,00:00:00,2048.1000000,2054.9000000,1938.1000000,1965.0000000,9102812
LKOH,W,18/04/11,00:00:00,1961.3000000,1990.0000000,1883.1000000,1954.1000000,8394084
LKOH,W,25/04/11,00:00:00,1960.9000000,1984.3000000,1883.0000000,1895.1000000,7677379
LKOH,W,02/05/11,00:00:00,1891.0000000,1909.9000000,1773.6000000,1863.5000000,8731347
LKOH,W,09/05/11,00:00:00,1820.9000000,1850.0000000,1715.0000000,1733.4000000,10259152
LKOH,W,16/05/11,00:00:00,1716.2000000,1768.7000000,1697.1000000,1711.2000000,9311188
