Date,Open,High,Low,Close,Volume
2020-02-03,100.05,100.05,100.05,100.05,75
2020-02-10,100.05,100.05,99.9,100.05,493887
2020-02-17,100.05,100.05,100.0,100.0,1254
2020-02-24,99.0,100.92,99.0,100.92,11
2020-03-02,100.0,100.11,100.0,100.1,1001007
2020-03-09,96.0,98.91,65.0,98.91,31
2020-03-16,98.0,100.98,97.5,100.98,58
2020-03-23,100.0,100.0,99.95,99.95,2
2020-03-30,100.0,100.0,99.5,99.5,17
2020-04-06,99.75,99.75,99.75,99.75,10
2020-04-13,100.0,100.0,62.0,99.98,59
2020-04-20,100.0,100.0,85.0,100.0,17
2020-04-27,99.5,100.0,99.5,100.0,3
2020-05-04,99.5,100.0,99.5,100.0,534
2020-05-11,100.0,100.1,100.0,100.02,1344
2020-05-18,101.8,101.82,100.0,101.82,14
2020-05-25,100.01,101.95,100.0,101.95,19
2020-06-01,100.0,102.04,98.11,99.0,21
2020-06-08,102.09,102.11,99.1,102.11,26
2020-06-15,102.25,102.25,102.25,102.25,3
2020-06-22,102.36,102.36,102.36,102.36,1
2020-06-29,102.36,102.45,99.73,102.0,23
2020-07-06,101.5,101.5,101.5,101.5,1
2020-07-13,99.72,101.45,99.71,101.45,59
2020-07-20,99.43,101.5,99.43,101.5,9
2020-08-03,101.5,102.99,100.0,101.0,50
2020-08-10,101.0,101.99,99.49,101.99,10
2020-08-17,99.49,101.15,98.93,101.15,10
2020-08-31,102.99,102.99,100.2,101.15,32
2020-09-07,100.0,101.09,100.0,101.09,119
2020-09-14,101.05,101.05,100.82,101.05,28
2020-09-21,101.0,101.0,100.6,100.6,13
2020-09-28,100.8,100.9,100.8,100.9,5
2020-10-05,100.5,101.0,100.5,100.6,57
2020-10-12,101.0,101.0,100.75,100.75,46
2020-10-19,101.05,101.05,92.0,100.01,13634
2020-10-26,100.99,101.0,100.99,101.0,8
2020-11-02,100.5,101.0,100.5,101.0,12
2020-11-09,101.0,101.0,100.05,101.0,9832
2020-11-16,100.99,101.0,100.65,101.0,66
2020-11-23,95.16,100.99,95.16,100.99,15
