<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.SU52004RMFS7:TQOB,W,11/10/21,00:00:00,96.8000000,97.0000000,95.2000000,95.7500000,1002893
MOEX.SU52004RMFS7:TQOB,W,18/10/21,00:00:00,95.7490000,96.0000000,95.5850000,95.7500000,393
MOEX.SU52004RMFS7:TQOB,W,25/10/21,00:00:00,95.6500000,97.0000000,95.4000000,96.5000000,1095
MOEX.SU52004RMFS7:TQOB,W,01/11/21,00:00:00,96.5000000,96.7990000,95.0030000,95.8570000,721
MOEX.SU52004RMFS7:TQOB,W,08/11/21,00:00:00,95.7000000,101.4790000,95.5000000,95.6000000,3318
MOEX.SU52004RMFS7:TQOB,W,15/11/21,00:00:00,95.6000000,100.0000000,95.2250000,100.0000000,1184
MOEX.SU52004RMFS7:TQOB,W,22/11/21,00:00:00,95.6500000,101.4250000,94.5520000,95.0000000,1103365
MOEX.SU52004RMFS7:TQOB,W,29/11/21,00:00:00,95.5400000,95.6500000,94.5500000,95.6500000,2595
MOEX.SU52004RMFS7:TQOB,W,06/12/21,00:00:00,95.6500000,95.6500000,95.0030000,95.6500000,1505
MOEX.SU52004RMFS7:TQOB,W,13/12/21,00:00:00,95.6000000,95.6500000,95.5000000,95.5000000,1128
MOEX.SU52004RMFS7:TQOB,W,20/12/21,00:00:00,95.6500000,99.1500000,95.1420000,95.4990000,3528
MOEX.SU52004RMFS7:TQOB,W,27/12/21,00:00:00,95.6490000,99.6480000,95.4050000,95.9990000,6429
MOEX.SU52004RMFS7:TQOB,W,03/01/22,00:00:00,95.5500000,101.9140000,95.5500000,97.0000000,200
MOEX.SU52004RMFS7:TQOB,W,10/01/22,00:00:00,95.5000000,97.5660000,94.5670000,96.9980000,209265
MOEX.SU52004RMFS7:TQOB,W,17/01/22,00:00:00,95.4000000,95.4990000,89.2630000,95.4880000,1959
