Date,Open,High,Low,Close,Volume
2018-04-02,99.0,99.0,96.4,96.7,1491508
2018-04-09,96.8,97.1,96.0,96.455,634001
2018-04-16,97.399,97.399,96.501,97.2,3633792
2018-04-23,99.0,99.0,96.449,97.199,4466348
2018-04-30,97.899,97.9,96.702,96.85,7570
2018-05-07,96.9,98.507,96.8,96.9,96966
2018-05-14,96.9,97.25,96.85,97.25,624715
2018-05-21,97.25,97.6,96.5,97.15,537841
2018-05-28,97.4,97.4,96.95,97.2,218135
2018-06-04,97.1,97.4,97.0,97.35,270836
2018-06-11,97.102,97.102,96.649,96.75,3165145
2018-06-18,96.75,97.999,96.652,96.7,289035
2018-06-25,97.499,97.499,96.75,96.75,1624275
2018-07-02,96.75,96.75,96.65,96.749,86209
2018-07-09,96.75,96.75,96.651,96.7,123701
2018-07-16,96.75,96.75,96.4,96.5,1559557
2018-07-23,96.7,96.749,95.681,95.898,559741
2018-07-30,95.99,96.079,95.662,95.699,684687
2018-08-06,95.847,95.849,95.0,95.24,626905
2018-08-13,95.25,95.25,93.37,93.4,186224
2018-08-20,93.599,93.869,93.001,93.869,102948
2018-08-27,93.969,94.2,93.6,94.1,285341
2018-09-03,94.03,94.03,93.2,93.768,543799
2018-09-10,93.768,94.0,93.075,93.999,304428
2018-09-17,94.111,94.149,93.98,93.995,71757
2018-09-24,94.0,94.35,93.804,94.25,13067
2018-10-01,94.24,94.349,93.602,94.0,55171
2018-10-08,94.19,94.19,93.602,93.779,9529
2018-10-15,93.798,93.891,93.363,93.699,69692
2018-10-22,93.503,94.2,93.214,93.596,238970
2018-10-29,93.585,93.695,93.4,93.5,43222
2018-11-05,93.46,93.599,93.113,93.25,21320
2018-11-12,93.529,93.529,92.526,93.049,178292
2018-11-19,92.681,93.181,92.63,92.85,64946
2018-11-26,93.125,93.198,92.639,93.198,63304
2018-12-03,93.059,93.359,93.0,93.25,48262
2018-12-10,93.151,93.477,93.15,93.23,112411
2018-12-17,93.5,93.5,92.784,93.1,55820
2018-12-24,93.299,93.809,92.901,93.5,574889
2018-12-31,93.85,93.85,93.45,93.597,12
2019-01-07,93.599,94.249,93.271,94.048,539336
2019-01-14,93.921,94.55,93.6,94.35,1622889
2019-01-21,94.401,94.999,94.3,94.799,138372
2019-01-28,95.096,95.096,94.372,94.999,512514
2019-02-04,95.147,95.199,94.849,94.899,122413
2019-02-11,95.197,95.197,94.665,94.75,269681
2019-02-18,94.73,94.999,94.501,94.601,8430
2019-02-25,94.601,94.75,94.501,94.698,141191
2019-03-04,94.698,94.698,94.5,94.569,322194
2019-03-11,94.506,94.598,94.201,94.4,115649
2019-03-18,94.481,94.61,94.17,94.17,257534
