tradedate,tradetime,secid,pr_open,pr_high,pr_low,pr_close,pr_std,vol,val,trades,pr_vwap,pr_change,trades_b,trades_s,val_b,val_s,vol_b,vol_s,disb,pr_vwap_b,pr_vwap_s,SYSTIME
2020-01-03,10:05:00,MOEX,107.88,108.0,107.57,107.74,0.0005,5090,5480277,224,107.67,-0.1298,84,140,2703730,2776546,2511,2579,-0.01,107.68,107.66,2023-11-14 20:47:14
2020-01-03,10:10:00,MOEX,107.74,108.15,107.65,108.04,0.0003,2644,2854496,103,107.96,0.2784,78,25,1934245,920251,1792,852,0.36,107.94,108.01,2023-11-14 20:47:15
2020-01-03,10:15:00,MOEX,108.02,108.06,107.67,107.91,0.0002,2395,2583866,120,107.89,-0.1018,61,59,931859,1652007,864,1531,-0.28,107.85,107.9,2023-11-14 20:47:16
2020-01-03,10:20:00,MOEX,107.89,107.89,107.65,107.65,0.0002,3255,3508193,114,107.78,-0.2224,51,63,1352658,2155534,1255,2000,-0.23,107.78,107.78,2023-11-14 20:47:32
2020-01-03,10:25:00,MOEX,107.69,108.0,107.67,107.97,0.0002,3119,3364003,136,107.86,0.26,91,45,1796873,1567129,1666,1453,0.07,107.86,107.85,2023-11-14 20:47:32
2020-01-03,10:30:00,MOEX,107.97,108.02,107.87,108.01,0.0003,2164,2336158,126,107.96,0.037,77,49,1237323,1098835,1146,1018,0.06,107.97,107.94,2023-11-14 20:47:33
2020-01-03,10:35:00,MOEX,108.0,108.02,107.94,107.99,0.0003,1822,1967491,86,107.99,-0.0093,43,43,725689,1241802,672,1150,-0.26,107.99,107.98,2023-11-14 20:47:34
2020-01-03,10:40:00,MOEX,107.99,108.03,107.75,107.8,0.0002,3087,3330120,127,107.88,-0.1759,44,83,866243,2463876,803,2284,-0.48,107.88,107.88,2023-11-14 20:47:34
2020-01-03,10:45:00,MOEX,107.8,107.9,107.79,107.9,0.0002,942,1015913,66,107.85,0.0928,41,25,786213,229700,729,213,0.55,107.85,107.84,2023-11-14 20:47:35
2020-01-03,10:50:00,MOEX,107.9,108.01,107.84,108.0,0.0002,2011,2170240,69,107.92,0.0927,47,22,1475190,695049,1367,644,0.36,107.91,107.93,2023-11-14 20:47:16
