,open,close,high,low,value,volume,begin,end
0,86.56,86.69,88.17,85.51,13024966177.74,149200144.0,2010-01-11,2010-01-11 23:59:59
1,86.55,85.0,86.77,84.9,11187971799.81,130321911.0,2010-01-12,2010-01-12 23:59:59
2,84.3,86.61,87.23,84.1,11069503105.43,128818253.0,2010-01-13,2010-01-13 23:59:59
3,87.5,87.55,87.87,86.75,9745828122.16,111469807.0,2010-01-14,2010-01-14 23:59:59
4,87.5,88.15,88.67,87.16,12521048504.4,142265882.0,2010-01-15,2010-01-15 23:59:59
5,87.85,90.49,90.65,87.79,16090263825.98,179564888.0,2010-01-18,2010-01-18 23:59:59
6,90.5,92.02,92.2,88.8,24438936854.61,269046039.0,2010-01-19,2010-01-19 23:59:59
7,92.02,90.62,92.49,90.42,20198710113.17,220504796.0,2010-01-20,2010-01-20 23:59:59
8,91.25,89.18,91.65,88.92,19880053203.09,219515040.0,2010-01-21,2010-01-21 23:59:59
9,88.47,86.5,89.06,85.75,19320976514.91,221523568.0,2010-01-22,2010-01-22 23:59:59
10,85.68,88.07,88.8,85.33,15309676394.95,175218687.0,2010-01-25,2010-01-25 23:59:59
11,87.0,85.84,87.05,84.95,16895202045.75,196525690.0,2010-01-26,2010-01-26 23:59:59
12,85.61,86.64,88.0,85.07,17965464542.64,207671907.0,2010-01-27,2010-01-27 23:59:59
13,88.0,87.15,88.75,86.5,15249883499.95,173424564.0,2010-01-28,2010-01-28 23:59:59
14,86.44,88.41,88.8,86.01,16482571617.82,188062134.0,2010-01-29,2010-01-29 23:59:59
15,87.6,87.69,88.1,86.85,12818670388.91,146486262.0,2010-02-01,2010-02-01 23:59:59
16,88.4,88.05,88.44,87.34,11374861868.45,129362901.0,2010-02-02,2010-02-02 23:59:59
17,88.7,88.08,89.8,87.99,16774475296.17,188637261.0,2010-02-03,2010-02-03 23:59:59
18,88.1,84.77,88.47,84.33,16718816114.55,192844303.0,2010-02-04,2010-02-04 23:59:59
19,83.2,83.09,84.19,80.89,22753423326.11,275776811.0,2010-02-05,2010-02-05 23:59:59
20,83.0,79.01,84.05,79.01,20486439277.29,250340447.0,2010-02-08,2010-02-08 23:59:59
21,80.0,80.35,80.89,78.1,25328265944.28,318201013.0,2010-02-09,2010-02-09 23:59:59
22,81.0,81.49,83.44,79.42,22864186156.89,280432428.0,2010-02-10,2010-02-10 23:59:59
23,83.0,82.67,83.82,81.58,23000082766.72,277499389.0,2010-02-11,2010-02-11 23:59:59
24,83.4,80.0,83.62,79.28,16806688178.22,207194388.0,2010-02-12,2010-02-12 23:59:59
25,80.02,80.38,81.3,79.47,9239182718.96,114992349.0,2010-02-15,2010-02-15 23:59:59
26,81.02,83.25,83.3,80.84,13859994827.29,169174695.0,2010-02-16,2010-02-16 23:59:59
27,83.86,82.47,83.94,82.13,14002312805.98,168523860.0,2010-02-17,2010-02-17 23:59:59
28,82.0,79.89,82.15,78.35,20445712857.02,255258078.0,2010-02-18,2010-02-18 23:59:59
29,78.02,79.17,79.79,76.58,22383516484.15,286719443.0,2010-02-19,2010-02-19 23:59:59
30,78.55,75.99,79.32,75.4,17825694866.03,230695318.0,2010-02-24,2010-02-24 23:59:59
31,75.61,74.88,76.07,73.23,19617896324.2,262746851.0,2010-02-25,2010-02-25 23:59:59
32,75.65,75.15,76.1,74.54,15139229192.74,201490162.0,2010-02-26,2010-02-26 23:59:59
33,75.2,76.3,76.54,74.85,4541049064.09,59845665.0,2010-02-27,2010-02-27 23:59:59
34,77.0,80.26,80.62,76.71,23700764536.55,300972082.0,2010-03-01,2010-03-01 23:59:59
35,80.06,82.44,83.09,79.91,23787636800.64,290057418.0,2010-03-02,2010-03-02 23:59:59
36,82.44,82.92,83.64,80.91,20713166547.77,251615541.0,2010-03-03,2010-03-03 23:59:59
37,82.25,82.95,83.6,81.4,19580887069.12,236686746.0,2010-03-04,2010-03-04 23:59:59
38,83.59,87.2,87.4,83.45,24991637714.96,291550420.0,2010-03-05,2010-03-05 23:59:59
39,87.0,89.41,89.65,86.4,26246111556.56,298271693.0,2010-03-09,2010-03-09 23:59:59
40,89.15,87.14,90.1,87.04,21574124195.43,243810254.0,2010-03-10,2010-03-10 23:59:59
41,87.0,87.41,88.67,86.44,18668511400.23,213175264.0,2010-03-11,2010-03-11 23:59:59
42,88.02,89.1,89.7,87.62,18262302388.85,205725200.0,2010-03-12,2010-03-12 23:59:59
43,88.3,87.82,89.63,87.63,16506205071.21,186027743.0,2010-03-15,2010-03-15 23:59:59
44,88.44,89.0,89.3,87.7,16286865539.06,184063882.0,2010-03-16,2010-03-16 23:59:59
45,90.0,89.35,90.47,88.76,14486858012.44,161570883.0,2010-03-17,2010-03-17 23:59:59
46,89.03,89.7,90.92,88.38,24960904986.09,277669266.0,2010-03-18,2010-03-18 23:59:59
47,90.1,88.04,90.48,87.82,16592991940.62,186484206.0,2010-03-19,2010-03-19 23:59:59
48,87.5,86.34,87.69,85.87,15088647643.83,173926805.0,2010-03-22,2010-03-22 23:59:59
49,87.03,86.03,87.2,85.11,16055492252.64,186714211.0,2010-03-23,2010-03-23 23:59:59
50,86.5,86.95,87.37,84.75,19472038853.54,225839510.0,2010-03-24,2010-03-24 23:59:59
51,86.73,86.0,87.29,85.3,15620027279.01,181014651.0,2010-03-25,2010-03-25 23:59:59
52,86.0,84.6,86.45,84.47,12979313092.43,152019864.0,2010-03-26,2010-03-26 23:59:59
53,84.5,85.46,86.05,84.05,12568783054.3,147433740.0,2010-03-29,2010-03-29 23:59:59
54,85.85,85.1,86.65,84.33,13720800707.95,160289490.0,2010-03-30,2010-03-30 23:59:59
55,84.88,85.8,87.1,84.45,17505954873.32,203809645.0,2010-03-31,2010-03-31 23:59:59
56,86.4,87.83,88.0,86.11,13619072236.41,156008440.0,2010-04-01,2010-04-01 23:59:59
57,88.0,88.18,88.86,87.43,8927361390.84,101247584.0,2010-04-02,2010-04-02 23:59:59
58,88.5,88.6,88.82,87.62,8749989389.16,99143883.0,2010-04-05,2010-04-05 23:59:59
59,88.5,88.6,89.14,87.45,12624104267.98,142852789.0,2010-04-06,2010-04-06 23:59:59
60,88.6,86.3,88.95,86.3,12927876901.38,147531158.0,2010-04-07,2010-04-07 23:59:59
61,86.0,84.94,86.0,84.4,12522274447.2,147205350.0,2010-04-08,2010-04-08 23:59:59
62,85.47,86.88,87.85,85.18,12961781684.66,149715742.0,2010-04-09,2010-04-09 23:59:59
63,87.75,86.54,88.0,85.84,9765355672.47,112468368.0,2010-04-12,2010-04-12 23:59:59
64,85.73,87.2,88.26,85.63,14303662417.98,163912792.0,2010-04-13,2010-04-13 23:59:59
65,88.1,89.2,89.48,87.88,13584366143.69,152991399.0,2010-04-14,2010-04-14 23:59:59
66,89.7,89.3,90.27,88.63,10883932677.79,121739284.0,2010-04-15,2010-04-15 23:59:59
67,88.67,86.99,89.89,86.75,10518502830.15,118487026.0,2010-04-16,2010-04-16 23:59:59
68,85.6,85.2,85.8,82.81,15274591472.28,180407293.0,2010-04-19,2010-04-19 23:59:59
69,85.98,86.7,87.37,85.36,12406764461.34,143492723.0,2010-04-20,2010-04-20 23:59:59
70,87.2,85.5,88.0,84.9,12624007420.14,146115041.0,2010-04-21,2010-04-21 23:59:59
71,85.0,84.45,86.35,83.24,16095342640.78,189919899.0,2010-04-22,2010-04-22 23:59:59
72,85.0,84.42,86.01,83.4,14662899256.22,173003547.0,2010-04-23,2010-04-23 23:59:59
73,85.45,84.81,85.84,84.52,11329488561.01,133099137.0,2010-04-26,2010-04-26 23:59:59
74,84.33,82.93,84.36,82.32,12391862174.26,148874206.0,2010-04-27,2010-04-27 23:59:59
75,81.0,79.53,81.43,78.92,19597708073.96,244241044.0,2010-04-28,2010-04-28 23:59:59
76,80.16,80.95,81.19,79.42,12477153551.54,155142025.0,2010-04-29,2010-04-29 23:59:59
77,81.01,78.6,81.38,77.82,12125381190.15,152192205.0,2010-04-30,2010-04-30 23:59:59
78,79.2,75.85,80.09,75.46,17300190757.69,223927170.0,2010-05-04,2010-05-04 23:59:59
79,75.16,75.17,77.44,73.5,21190809852.95,280073484.0,2010-05-05,2010-05-05 23:59:59
80,74.79,73.85,76.99,73.53,21733899783.26,289184874.0,2010-05-06,2010-05-06 23:59:59
81,70.96,70.35,72.7,69.51,26903730400.75,377532396.0,2010-05-07,2010-05-07 23:59:59
82,73.6,75.0,75.1,71.15,22559850428.77,303731251.0,2010-05-11,2010-05-11 23:59:59
83,74.3,81.93,82.3,74.1,29646580418.12,375233259.0,2010-05-12,2010-05-12 23:59:59
84,82.73,80.8,84.73,79.42,32348534685.33,396010049.0,2010-05-13,2010-05-13 23:59:59
85,79.8,77.43,80.55,76.92,18473955386.85,234935445.0,2010-05-14,2010-05-14 23:59:59
86,75.3,76.01,77.45,74.85,24605615813.18,323350490.0,2010-05-17,2010-05-17 23:59:59
