iter	Passed	Remaining
775	10890	3143
776	10904	3129
777	10919	3115
778	10933	3101
779	10946	3087
780	10959	3073
781	10974	3059
782	10988	3045
783	11001	3031
784	11015	3016
785	11029	3002
786	11043	2988
787	11056	2974
788	11071	2960
789	11085	2946
790	11099	2932
791	11113	2918
792	11126	2904
793	11142	2890
794	11158	2877
795	11171	2863
796	11186	2849
797	11200	2835
798	11215	2821
799	11229	2807
800	11241	2792
801	11256	2778
802	11269	2764
803	11283	2750
804	11298	2736
805	11311	2722
806	11325	2708
807	11339	2694
808	11353	2680
809	11368	2666
810	11381	2652
811	11394	2638
812	11408	2624
813	11422	2610
814	11435	2595
815	11449	2581
816	11462	2567
817	11474	2553
818	11489	2539
819	11501	2524
820	11514	2510
821	11528	2496
822	11543	2482
823	11555	2468
824	11568	2453
825	11591	2441
826	11639	2434
827	11683	2427
828	11707	2414
829	11720	2400
830	11736	2386
831	11751	2372
832	11765	2358
833	11781	2344
834	11795	2330
835	11808	2316
836	11823	2302
837	11837	2288
838	11851	2274
839	11865	2260
840	11879	2246
841	11893	2231
842	11907	2217
843	11922	2203
844	11936	2189
845	11952	2175
846	11973	2162
847	11989	2149
848	12007	2135
849	12033	2123
850	12057	2111
851	12078	2098
852	12096	2084
853	12115	2071
854	12133	2057
855	12153	2044
856	12178	2032
857	12199	2019
858	12216	2005
859	12232	1991
860	12247	1977
861	12320	1972
862	12357	1961
863	12391	1950
864	12474	1946
865	12512	1936
866	12581	1930
867	12610	1917
868	12631	1904
869	12652	1890
870	12674	1877
871	12696	1863
872	12715	1849
873	12734	1835
874	12753	1821
875	12777	1808
876	12801	1795
877	12828	1782
878	12846	1768
879	12871	1755
880	12908	1743
881	12932	1730
882	12949	1715
883	12968	1701
884	12985	1687
885	13002	1672
886	13018	1658
887	13041	1644
888	13058	1630
889	13075	1616
890	13099	1602
891	13122	1588
892	13174	1578
893	13209	1566
894	13242	1553
895	13265	1539
896	13293	1526
897	13309	1511
898	13326	1497
899	13341	1482
900	13356	1467
901	13372	1452
902	13388	1438
903	13404	1423
904	13418	1408
905	13434	1393
906	13451	1379
907	13467	1364
908	13484	1349
