iter	RMSE
258	595.4308777
259	594.4427547
260	594.3813578
261	593.9781917
262	592.7692878
263	591.9792467
264	590.1028892
265	589.4436104
266	588.8634656
267	587.9676479
268	587.8702074
269	587.8241014
270	587.3907385
271	586.5855528
272	584.9011367
273	583.6819821
274	582.271707
275	581.837877
276	580.5963101
277	579.4712536
278	578.4665257
279	576.9465697
280	576.4568549
281	575.0491457
282	574.4137223
283	574.3107574
284	573.8242521
285	572.3783935
286	571.5491689
287	570.0802592
288	569.800469
289	569.0052063
290	568.3518256
291	568.163678
292	566.9851495
293	566.1567013
294	565.4095532
295	564.8968926
296	563.9453314
297	563.3787758
298	562.587419
299	561.8662379
300	560.5138455
301	559.0344141
302	558.5264004
303	557.5374944
304	556.4770794
305	556.0535417
306	554.9106183
307	553.90909
308	553.4171358
309	552.9998448
310	552.6223433
311	552.190488
312	551.4627542
313	550.8748116
314	549.7792628
315	549.2774494
316	548.1745589
317	547.0521823
318	546.7704184
319	546.7255744
320	546.5336841
321	545.6219979
322	544.5529167
323	543.8810054
324	543.0523951
325	542.5493906
326	542.3944012
327	541.5044541
328	540.6928188
329	539.9538182
330	539.516211
331	538.4000087
332	537.8107578
333	537.5325774
334	537.2142552
335	536.1555396
336	534.9869716
337	534.2121217
338	533.176685
339	533.1282632
340	532.1994202
341	531.4740045
342	530.637201
343	530.2440798
344	529.4076329
345	529.3012373
346	529.2584045
347	529.1693981
348	528.768473
349	528.5142239
350	528.3374896
351	527.4421513
352	527.3575162
353	526.7480733
354	525.966764
355	525.1371697
356	524.3424733
357	524.2254275
358	523.455914
359	522.036176
360	521.3199683
361	520.6481745
362	520.3786128
363	520.2956416
364	519.8286085
365	519.0875246
366	518.6788278
367	517.7340929
368	516.9272239
369	516.4206767
370	515.8353934
371	515.3859041
372	514.912257
373	514.2749266
374	514.1309737
375	513.6195738
376	512.817723
377	511.8481458
378	511.2378699
379	510.9104739
380	510.4161463
381	509.4308242
382	509.0214489
383	507.6763775
384	507.0604604
385	505.9758241
386	505.6134284
387	504.9726213
388	504.1733748
389	503.0366974
390	502.6420868
391	501.983289
392	501.935501
393	501.8793413
394	501.2293429
395	501.1819869
396	500.1600679
397	499.6831338
398	499.2537139
399	498.6979164
400	498.4724544
401	498.0051469
402	497.6346812
403	496.912433
404	496.0711317
405	495.1010682
406	494.6105461
407	494.1278573
408	493.5123803
409	492.361117
410	491.7181525
411	490.840898
412	489.9382079
413	489.4952753
414	488.8128579
415	488.3246551
416	487.596728
417	486.8702089
418	486.4149216
419	486.0416025
420	485.331624
421	484.5542341
422	484.17942
423	483.7617354
424	483.151451
425	482.5431345
426	481.511082
427	480.8541329
428	480.291177
429	479.8633431
430	478.8989661
431	478.3136933
432	478.1284092
433	478.0247341
434	477.6350138
435	477.3554133
436	476.9557475
437	476.784228
438	475.6863641
439	475.1283598
440	474.5895002
441	474.0733682
442	473.4103044
443	472.990698
444	472.6885875
445	472.5600947
446	472.0859145
447	471.5093335
448	471.0088934
449	470.3181598
450	470.0017604
451	469.2494447
452	468.7250419
453	468.5609963
454	468.3961424
455	468.0264805
456	467.83836
457	467.5145192
458	467.4231986
459	466.8031761
460	466.5050916
461	466.0536511
462	465.7914042
463	465.4490718
464	465.4160924
465	465.0703086
466	464.6470117
467	464.2527487
468	464.1372643
469	464.0555048
470	463.6391191
471	463.4953261
472	463.1914449
473	462.4809763
474	462.0941123
475	461.7258869
476	460.8107074
477	460.2280329
478	459.997563
479	459.4999862
480	458.8189043
481	457.9562815
482	457.5399382
483	457.2166181
484	456.7482654
485	456.3710744
486	455.6074215
487	455.2465321
488	454.7099459
489	454.2015608
490	453.5161208
491	452.8920006
492	452.1145688
493	451.9857519
494	451.5956284
495	451.351418
496	450.9663784
497	450.3872977
498	449.6882125
499	449.0080312
500	448.5613475
501	448.2585711
502	448.006237
503	447.4215716
504	447.0191779
505	446.5675696
506	446.0221381
507	445.4826771
508	444.9844659
509	444.487924
510	443.651489
511	443.3544196
512	443.2244152
513	442.9395297
514	442.8771356
515	442.7365707
516	442.2666968
517	441.6911441
518	441.0355475
519	440.7596933
520	440.1452493
521	439.6457936
522	439.115152
523	438.5952631
524	438.2067607
525	437.9059276
526	437.7695943
527	437.4602569
528	436.9333804
529	436.6265559
530	436.293754
531	436.2497996
532	436.1908053
533	435.9721635
534	435.9386322
535	435.8719704
536	435.4594567
537	435.0938378
538	434.8203409
539	434.5262817
540	434.1797695
541	434.1025094
542	433.5041778
543	433.2248495
544	432.923588
545	432.5452651
546	432.0749096
547	431.892134
548	431.4207963
549	431.1440666
550	430.817831
551	430.164362
552	429.831024
553	429.7156934
554	429.4016358
555	428.9387791
556	428.4095194
557	428.3039327
558	428.0798328
559	427.6085713
560	426.952468
561	426.27965
562	425.8905164
563	425.7847834
564	425.4503476
565	424.8403958
566	424.3267638
567	424.2324595
568	423.995514
569	423.4655811
570	423.0908796
571	422.9981816
572	422.6228465
573	422.5537377
574	422.4017381
575	422.2018259
576	421.8732123
577	421.2493684
578	421.0550667
579	420.9604931
580	420.7778497
581	420.7322028
582	420.4904038
583	420.4575732
584	420.2121866
585	419.871249
586	419.8416056
587	419.7784944
588	419.5968798
589	419.0088783
590	418.5283189
591	417.9487967
592	417.5166235
593	417.2447194
594	416.796732
595	416.2642682
596	415.6730115
597	415.4870444
598	414.9092015
599	414.5130014
600	414.2522422
601	413.9318164
602	413.7892642
603	413.3536317
604	413.0128897
605	412.6065747
606	412.1634586
607	411.8176356
608	411.3931886
609	410.9175562
610	410.6260003
611	410.0945966
612	409.8870359
613	409.652699
614	409.3405629
615	408.7232787
616	408.42499
617	407.8047181
618	407.551798
619	407.2138799
620	406.7622456
621	406.4623549
622	406.0182249
623	405.9546883
624	405.697122
625	405.2073296
626	404.7666238
627	404.4125916
628	403.9552785
629	403.7031673
630	403.1041132
631	402.9337811
632	402.6317644
633	402.4893811
634	402.2729753
635	401.9685744
636	401.815401
637	401.2211481
638	400.9978913
639	400.9602636
640	400.8985171
641	400.8552468
642	400.4055804
643	400.3320976
644	399.9738034
645	399.8930426
646	399.8618425
647	399.8395875
648	399.8196881
649	399.6201206
650	399.3040778
651	399.0132501
652	398.979787
653	398.7389028
654	398.3551501
655	397.9359138
656	397.7727506
657	397.6105281
658	397.2136354
659	396.9465984
660	396.7844679
661	396.5744422
662	396.5181456
663	396.3120053
664	396.0404553
665	396.0240193
666	395.6828426
667	395.3199779
668	394.893021
669	394.6984452
670	394.4181525
671	394.0518708
672	393.8406663
673	393.695388
674	393.2531475
675	393.0646031
676	392.8643108
677	392.4952962
678	392.2434801
679	392.1927888
680	391.8784596
681	391.7214648
682	391.3903776
683	391.1067571
684	390.6560237
685	390.4281595
686	390.31021
687	390.2728921
688	390.2216661
689	390.176592
690	390.0698945
691	389.9679108
692	389.8014395
693	389.2978547
694	388.9001918
695	388.8703897
696	388.8531487
697	388.4402641
698	388.0706898
699	387.9123189
700	387.5247686
701	387.0481582
702	386.6601654
703	386.2274117
704	385.9329424
705	385.82819
706	385.5317577
707	385.3789588
708	385.0154269
709	384.6257653
710	384.3580315
711	383.7587425
712	383.3278628
713	382.9724493
714	382.4396512
715	382.1637559
716	381.9232199
717	381.594582
718	381.2924117
719	380.9663839
720	380.4624102
721	380.199807
722	379.8102556
723	379.4115708
724	379.2140252
725	379.1353242
726	378.8265408
727	378.5592159
728	378.3322398
729	378.1855882
730	378.0388719
731	377.8946473
732	377.7786148
733	377.755755
734	377.651268
735	377.3760465
736	376.8724917
737	376.7280754
738	376.4631488
739	376.243052
740	375.8539125
741	375.6519968
742	375.5621443
743	375.3240551
744	374.8878154
745	374.5761738
746	374.3206064
747	373.860075
748	373.4149797
749	373.1826897
750	373.0856279
751	372.8888854
752	372.6930312
753	372.4752892
754	372.0718184
755	371.775266
756	371.6294944
757	371.546624
758	371.2995143
759	371.14742
760	370.7393595
761	370.6348867
762	370.3603356
763	370.1935841
764	370.0317769
765	369.4613379
766	369.101019
767	368.9334194
768	368.7762533
769	368.7479513
770	368.3778628
771	368.3537353
772	368.3226587
773	367.9860987
774	367.9132846
775	367.8213877
776	367.3611957
777	366.9595934
778	366.770143
779	366.6221168
780	366.5273782
781	366.4885506
782	366.4677567
783	366.4268103
784	366.3931426
785	366.3391903
786	366.0452885
787	365.8553926
788	365.3916819
789	364.9460103
790	364.6658479
791	364.5840226
792	364.2666282
793	364.2234171
794	363.9580378
795	363.7315657
796	363.5513416
797	363.1589114
798	363.074569
799	362.7644313
800	362.7237281
801	362.6134567
802	362.4906556
803	362.4768571
804	362.2171689
805	362.1923855
806	362.0675483
807	361.8130703
808	361.5036024
809	361.4887865
810	361.4578304
811	361.4046337
812	361.1574896
813	361.1223071
814	361.0278697
815	360.9282325
816	360.8914994
817	360.8694566
818	360.7182695
819	360.692195
820	360.6134591
821	360.3729133
822	360.084937
823	360.06533
824	359.8754297
825	359.5571538
826	359.1516617
827	358.9077482
828	358.6954079
829	358.5120653
830	358.1779311
831	357.9349188
832	357.5910126
833	357.2030136
834	357.0787527
835	356.7832559
836	356.4597129
837	356.081707
838	355.7412386
839	355.5529073
840	355.2670995
841	355.0753209
842	354.9789693
843	354.6685423
844	354.4840086
845	354.3689283
846	354.3148886
847	354.0094171
848	353.7306343
849	353.2459002
850	352.9355235
851	352.8886325
852	352.8128509
853	352.6196334
854	352.3605691
855	352.3328155
856	352.2376684
857	352.2262914
858	351.8632562
859	351.5425987
860	351.2548755
861	350.9763811
862	350.9544954
863	350.7832288
864	350.4853479
865	350.2966806
866	349.9224494
867	349.4898285
868	349.1917882
869	349.0041358
870	348.9002326
871	348.6880283
872	348.5541836
873	348.3964619
874	348.1140783
875	347.7483435
876	347.598484
877	347.4211885
878	347.1437981
879	346.9955726
880	346.9265458
881	346.908452
882	346.7451337
883	346.4000699
884	346.1284876
885	346.0503425
886	345.9150919
887	345.8482522
888	345.4856873
889	345.2448336
890	345.0768006
891	344.9055527
892	344.6830892
893	344.4644287
894	344.2199728
895	343.9959926
896	343.6869199
897	343.668957
898	343.5554323
899	343.3214911
900	343.1760191
901	343.1289826
902	343.0779652
903	342.9543087
904	342.923285
905	342.8328494
906	342.5567761
907	342.2369961
908	341.9220387
909	341.7953985
910	341.3178801
911	341.1508278
912	341.0566585
913	340.878905
914	340.7274283
915	340.6607987
916	340.4479106
917	340.2333385
918	340.2138454
919	339.9601617
920	339.7818541
921	339.4340436
922	339.2977966
923	339.0383864
924	338.8421275
925	338.6764583
926	338.4750311
927	338.3577487
928	338.2540442
929	338.219635
930	338.1533272
931	337.9988493
932	337.763633
933	337.7182898
934	337.6758455
935	337.6609416
936	337.6488347
937	337.578907
938	337.4529988
939	337.2749988
940	337.0817032
941	336.8061941
942	336.6171169
943	336.4077297
944	336.1969222
945	335.8881023
946	335.7323857
947	335.3576665
948	335.1530149
949	334.7917184
950	334.5329585
951	334.3232559
952	333.959198
953	333.6199852
954	333.4953888
955	333.3906721
956	333.3130965
957	333.2556016
958	333.0952752
959	333.0374442
960	332.9114216
961	332.6995527
962	332.450741
963	332.2853347
964	332.2474325
965	331.9718735
966	331.6292373
967	331.317648
968	331.2879087
969	331.1007255
970	330.8652088
971	330.8529413
972	330.774803
973	330.5821716
974	330.5098189
975	330.4008046
976	330.0256949
977	329.906224
978	329.8600546
979	329.6641998
980	329.5304451
981	329.3812899
982	329.1847553
983	328.9889165
984	328.8751732
985	328.7431101
986	328.6919495
987	328.4366078
988	328.0997017
989	327.792461
990	327.5466551
991	327.2546097
992	327.0496863
993	326.8036532
994	326.4525745
995	326.3401632
996	326.3159887
997	326.0363872
998	326.0256425
999	325.7358903
