iter	RMSE
0	10063.13609
1	8943.983974
2	7951.385049
3	7076.260253
4	6301.000134
5	5619.555349
6	5012.816265
7	4478.848098
8	4009.097593
9	3595.760674
10	3233.560968
11	2915.027425
12	2638.093353
13	2397.680219
14	2189.900134
15	2008.408825
16	1853.221628
17	1720.017288
18	1606.469724
19	1510.779496
20	1430.392766
21	1362.479038
22	1304.11381
23	1258.055768
24	1217.720226
25	1185.424004
26	1154.523414
27	1131.600044
28	1110.786463
29	1093.794475
30	1080.217142
31	1068.787844
32	1054.517854
33	1044.162405
34	1031.302463
35	1022.150312
36	1014.194239
37	1009.75911
38	1006.310293
39	997.26879
40	993.2513712
41	989.4941252
42	987.158789
43	985.3592987
44	983.5168345
45	977.4679403
46	975.8459145
47	970.9610424
48	969.6671632
49	966.0907233
50	963.3656501
51	960.4842458
52	955.0793233
53	950.5681044
54	948.114871
55	945.6969745
56	942.4764791
57	941.7180948
58	939.9215843
59	936.2525366
60	932.685556
61	930.3143481
62	925.9653038
63	923.9997144
64	921.2652376
65	917.6272697
66	916.7165011
67	916.2288412
68	914.7107691
69	913.5049492
70	909.7892211
71	908.993445
72	906.1264449
73	904.350535
74	903.0165641
75	899.0759302
76	898.3050074
77	892.1432392
78	886.4309056
79	880.4573308
80	876.7174983
81	872.2609405
82	869.4863829
83	866.908805
84	861.8002136
85	860.8703589
86	860.6251555
87	857.2494563
88	856.426841
89	855.1364061
90	852.8131482
91	852.6960233
92	849.9565187
93	848.4776346
94	844.8198417
95	842.8999791
96	841.0488194
97	837.8784843
98	837.6011136
99	833.6950481
100	831.4089234
101	826.6102959
102	824.0643307
103	822.1978884
104	819.3122796
105	816.3714454
106	814.3634452
107	810.5930501
108	808.0237347
109	805.3707043
110	802.8693716
111	802.7748238
112	800.944242
113	799.8673024
114	797.3273522
115	796.9700304
116	794.798754
117	793.1225297
118	788.9292833
119	786.937754
120	784.6046461
121	782.9044319
122	780.6243044
123	778.4168664
124	776.689578
125	775.1079115
126	773.3786067
127	771.0972931
128	769.7484854
129	767.439326
130	765.4695281
131	762.1630758
132	760.7408782
133	758.9167474
134	756.7172741
135	754.8321099
136	753.5166974
137	751.8237371
138	749.7741001
139	745.9894133
140	743.9096599
141	741.3834551
142	739.1423888
143	737.058538
144	735.6441544
145	733.3064808
146	731.9315917
147	730.9819305
148	729.1084988
149	727.7242478
150	726.1445183
151	726.0535864
152	724.2257541
153	721.6047405
154	719.6823214
155	716.9687769
156	715.3179882
157	713.4888795
158	711.0543188
159	707.7452203
160	705.8736118
161	705.4194954
162	704.4645922
163	703.2802769
164	702.1047129
165	699.7882627
166	698.0392822
167	696.0692838
168	694.7587169
169	693.1219575
170	691.9216165
171	690.3195101
172	689.163004
173	688.3107073
174	685.8629741
175	684.3235821
176	683.7327158
177	682.7723857
178	681.618987
179	681.5475908
180	680.6199465
181	679.2127309
182	677.1441006
183	676.0326028
184	674.0100902
185	672.0378414
186	670.2588874
187	667.9928447
188	665.6249832
189	664.0188459
190	662.8273542
191	662.7069197
192	661.7124494
193	660.233777
194	658.9198537
195	658.1774876
196	656.8492129
197	655.7822898
198	653.6754324
199	651.7733046
200	650.523889
201	649.704748
202	648.5816941
203	647.2610569
204	646.5195995
205	644.7777551
206	644.07819
207	642.6560696
208	641.7488161
209	640.2064969
210	638.1839608
211	637.8877616
212	636.9749889
213	636.0590095
214	634.7514148
215	633.7102634
216	632.9996207
217	632.9183089
218	631.245409
219	630.6518353
220	629.8953157
221	628.568071
222	627.2120349
223	625.8119413
224	624.4430077
225	623.0558298
226	622.2989997
227	621.2541215
228	619.8508788
229	618.9811747
230	618.0917168
231	617.0640582
232	616.2334782
233	615.7027529
234	614.7862202
235	614.2931395
236	613.8974172
237	612.6786649
238	611.4389696
239	610.7730903
240	609.2148106
241	607.7727191
242	607.0039836
243	605.9919791
244	604.8788888
245	604.0973739
246	602.6449069
247	601.8329653
248	601.2518961
249	600.3719902
250	599.551186
251	599.4856855
252	599.0373116
253	598.9827003
254	598.5722911
255	597.5646976
256	596.7761878
257	595.8886835
