<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AKMB,W,01/06/20,00:00:00,1.0030000,1.0030000,0.9972000,1.0030000,32105834
AKMB,W,08/06/20,00:00:00,0.9972000,1.0061000,0.9972000,1.0060000,186191
AKMB,W,15/06/20,00:00:00,1.0046000,1.0275000,1.0016000,1.0080000,19557776
AKMB,W,22/06/20,00:00:00,1.0119000,1.0140000,1.0080000,1.0112000,60828
AKMB,W,29/06/20,00:00:00,1.0110000,1.0189000,1.0046000,1.0140000,11402197
AKMB,W,06/07/20,00:00:00,1.0146000,1.0168000,1.0080000,1.0137000,483032
AKMB,W,13/07/20,00:00:00,1.0160000,1.0218000,1.0119000,1.0187000,71623
AKMB,W,20/07/20,00:00:00,1.0174000,1.0216000,1.0129000,1.0186000,4687273
AKMB,W,27/07/20,00:00:00,1.0138000,1.0392000,1.0137000,1.0190000,25021585
AKMB,W,03/08/20,00:00:00,1.0201000,1.0400000,1.0176000,1.0235000,1708645
AKMB,W,10/08/20,00:00:00,1.0240000,1.0267000,1.0225000,1.0255000,12882927
AKMB,W,17/08/20,00:00:00,1.0255000,1.0288000,1.0130000,1.0226000,6401693
AKMB,W,24/08/20,00:00:00,1.0205000,1.0295000,1.0204000,1.0283000,827543
AKMB,W,31/08/20,00:00:00,1.0290000,1.0315000,1.0241000,1.0309000,64889251
AKMB,W,07/09/20,00:00:00,1.0311000,1.0525000,1.0272000,1.0330000,4104989
AKMB,W,14/09/20,00:00:00,1.0281000,1.0352000,1.0281000,1.0320000,1914036
AKMB,W,21/09/20,00:00:00,1.0346000,1.0370000,1.0316000,1.0353000,3629882
AKMB,W,28/09/20,00:00:00,1.0353000,1.0390000,1.0323000,1.0379000,14941509
AKMB,W,05/10/20,00:00:00,1.0392000,1.0399000,1.0372000,1.0399000,27791241
AKMB,W,12/10/20,00:00:00,1.0399000,1.0445000,1.0367000,1.0438000,19944053
AKMB,W,19/10/20,00:00:00,1.0442000,1.0448000,1.0387000,1.0446000,6309723
AKMB,W,26/10/20,00:00:00,1.0441000,1.0465000,1.0365000,1.0430000,36644845
AKMB,W,02/11/20,00:00:00,1.0435000,1.0465000,1.0378000,1.0462000,16456333
AKMB,W,09/11/20,00:00:00,1.0462000,1.0497000,1.0417000,1.0495000,39803556
AKMB,W,16/11/20,00:00:00,1.0495000,1.0529000,1.0440000,1.0525000,15019033
AKMB,W,23/11/20,00:00:00,1.0520000,1.0565000,1.0440000,1.0556000,34438014
AKMB,W,30/11/20,00:00:00,1.0556000,1.0566000,1.0505000,1.0566000,10177025
AKMB,W,07/12/20,00:00:00,1.0552000,1.0600000,1.0512000,1.0549000,13137497
AKMB,W,14/12/20,00:00:00,1.0548000,1.0578000,1.0532000,1.0578000,11664807
AKMB,W,21/12/20,00:00:00,1.0578000,1.0605000,1.0523000,1.0605000,26647008
AKMB,W,28/12/20,00:00:00,1.0604000,1.0658000,1.0587000,1.0655000,26595284
AKMB,W,04/01/21,00:00:00,1.0640000,1.0795000,1.0622000,1.0684000,9458651
AKMB,W,11/01/21,00:00:00,1.0699000,1.0780000,1.0635000,1.0680000,14517407
AKMB,W,18/01/21,00:00:00,1.0690000,1.0698000,1.0600000,1.0686000,22894091
AKMB,W,25/01/21,00:00:00,1.0700000,1.0908000,1.0641000,1.0698000,35181308
AKMB,W,01/02/21,00:00:00,1.0680000,1.0767000,1.0661000,1.0700000,11043867
AKMB,W,08/02/21,00:00:00,1.0698000,1.0715000,1.0600000,1.0686000,36071735
AKMB,W,15/02/21,00:00:00,1.0691000,1.0708000,1.0621000,1.0689000,24130528
AKMB,W,22/02/21,00:00:00,1.0671000,1.0698000,1.0626000,1.0653000,14947620
AKMB,W,01/03/21,00:00:00,1.0638000,1.0695000,1.0625000,1.0646000,9320110
AKMB,W,08/03/21,00:00:00,1.0625000,1.0714000,1.0625000,1.0689000,30762810
AKMB,W,15/03/21,00:00:00,1.0689000,1.0721000,1.0638000,1.0663000,3762346
AKMB,W,22/03/21,00:00:00,1.0660000,1.0791000,1.0624000,1.0674000,9635940
AKMB,W,29/03/21,00:00:00,1.0645000,1.0791000,1.0645000,1.0694000,12447086
AKMB,W,05/04/21,00:00:00,1.0700000,1.0752000,1.0670000,1.0704000,3299600
AKMB,W,12/04/21,00:00:00,1.0704000,1.0746000,1.0672000,1.0694000,9442891
AKMB,W,19/04/21,00:00:00,1.0710000,1.0780000,1.0690000,1.0741000,4813226
AKMB,W,26/04/21,00:00:00,1.0725000,1.0815000,1.0723000,1.0799000,8560120
AKMB,W,03/05/21,00:00:00,1.0753000,1.0809000,1.0743000,1.0790000,2443712
AKMB,W,10/05/21,00:00:00,1.0776000,1.0836000,1.0741000,1.0835000,2264772
AKMB,W,17/05/21,00:00:00,1.0833000,1.0849000,1.0779000,1.0840000,5031794
AKMB,W,24/05/21,00:00:00,1.0854000,1.0899000,1.0784000,1.0892000,6709765
AKMB,W,31/05/21,00:00:00,1.0891000,1.0915000,1.0842000,1.0913000,5812448
AKMB,W,07/06/21,00:00:00,1.0914000,1.0915000,1.0822000,1.0866000,24235942
AKMB,W,14/06/21,00:00:00,1.0866000,1.0937000,1.0858000,1.0931000,6137352
AKMB,W,21/06/21,00:00:00,1.0935000,1.0970000,1.0920000,1.0953000,3337287
AKMB,W,28/06/21,00:00:00,1.0953000,1.1050000,1.0898000,1.0958000,7303730
AKMB,W,05/07/21,00:00:00,1.0958000,1.0983000,1.0915000,1.0981000,15985452
AKMB,W,12/07/21,00:00:00,1.0980000,1.1000000,1.0953000,1.0992000,4695100
AKMB,W,19/07/21,00:00:00,1.0995000,1.1001000,1.0928000,1.1001000,7611875
AKMB,W,26/07/21,00:00:00,1.0987000,1.1048000,1.0970000,1.1048000,8710917
AKMB,W,02/08/21,00:00:00,1.1048000,1.1149000,1.1019000,1.1059000,14993642
AKMB,W,09/08/21,00:00:00,1.1059000,1.1118000,1.1040000,1.1109000,34984800
AKMB,W,16/08/21,00:00:00,1.1109000,1.1150000,1.1090000,1.1138000,13907505
AKMB,W,23/08/21,00:00:00,1.1138000,1.1163000,1.1111000,1.1160000,12823868
AKMB,W,30/08/21,00:00:00,1.1157000,1.1199000,1.1106000,1.1176000,16354656
AKMB,W,06/09/21,00:00:00,1.1176000,1.1201000,1.1163000,1.1187000,12832528
AKMB,W,13/09/21,00:00:00,1.1191000,1.1277000,1.1160000,1.1200000,15939440
AKMB,W,20/09/21,00:00:00,1.1205000,1.1260000,1.1178000,1.1207000,37944972
AKMB,W,27/09/21,00:00:00,1.1195000,1.1259000,1.1144000,1.1226000,12637954
AKMB,W,04/10/21,00:00:00,1.1230000,1.1254000,1.1069000,1.1203000,9479593
AKMB,W,11/10/21,00:00:00,1.1203000,1.1253000,1.1145000,1.1218000,13082958
AKMB,W,18/10/21,00:00:00,1.1218000,1.1223000,1.1158000,1.1208000,6165231
AKMB,W,25/10/21,00:00:00,1.1207000,1.1214000,1.1091000,1.1136000,6670948
AKMB,W,01/11/21,00:00:00,1.1137000,1.1158000,1.1081000,1.1137000,4305678
AKMB,W,08/11/21,00:00:00,1.1141000,1.1165000,1.1080000,1.1165000,14690368
AKMB,W,15/11/21,00:00:00,1.1165000,1.1170000,1.1040000,1.1061000,16771145
AKMB,W,22/11/21,00:00:00,1.1080000,1.1103000,1.0950000,1.1006000,26593299
AKMB,W,29/11/21,00:00:00,1.1011000,1.1074000,1.0700000,1.0990000,37478962
AKMB,W,06/12/21,00:00:00,1.1017000,1.1290000,1.0600000,1.1005000,47929457
AKMB,W,13/12/21,00:00:00,1.1005000,1.1029000,1.0879000,1.0987000,21050376
AKMB,W,20/12/21,00:00:00,1.0987000,1.1200000,1.0956000,1.1180000,38259316
AKMB,W,27/12/21,00:00:00,1.1183000,1.1350000,1.1135000,1.1304000,48313170
AKMB,W,03/01/22,00:00:00,1.1304000,1.1451000,1.1287000,1.1299000,22935000
AKMB,W,10/01/22,00:00:00,1.1301000,1.1413000,1.1141000,1.1177000,84688701
AKMB,W,17/01/22,00:00:00,1.1209000,1.1324000,1.0991000,1.1150000,46139184
AKMB,W,24/01/22,00:00:00,1.1151000,1.1184000,1.0900000,1.1079000,43315992
AKMB,W,31/01/22,00:00:00,1.1079000,1.1197000,1.1057000,1.1150000,34252990
AKMB,W,07/02/22,00:00:00,1.1174000,1.1204000,1.1039000,1.1057000,35802638
AKMB,W,14/02/22,00:00:00,1.1057000,1.1133000,1.0981000,1.0989000,45042520
AKMB,W,21/02/22,00:00:00,1.0990000,1.1074000,0.7600000,1.0101000,47394067
AKMB,W,28/03/22,00:00:00,1.0498000,1.0500000,0.9341000,0.9797000,28779298
AKMB,W,04/04/22,00:00:00,0.9803000,0.9998000,0.9256000,0.9731000,33681603
AKMB,W,11/04/22,00:00:00,0.9731000,0.9993000,0.9658000,0.9753000,47846140
AKMB,W,18/04/22,00:00:00,0.9653000,1.0196000,0.9500000,1.0115000,21464141
AKMB,W,25/04/22,00:00:00,1.0057000,1.0646000,1.0057000,1.0487000,17548726
AKMB,W,02/05/22,00:00:00,1.0487000,1.0678000,1.0366000,1.0380000,8498511
AKMB,W,09/05/22,00:00:00,1.0382000,1.0568000,1.0267000,1.0320000,21666263
AKMB,W,16/05/22,00:00:00,1.0320000,1.0610000,1.0288000,1.0418000,28929370
AKMB,W,23/05/22,00:00:00,1.0381000,1.0850000,1.0300000,1.0763000,36092083
AKMB,W,30/05/22,00:00:00,1.0763000,1.1024000,1.0653000,1.0989000,17194564
AKMB,W,06/06/22,00:00:00,1.0999000,1.1555000,1.0821000,1.1408000,63690955
AKMB,W,13/06/22,00:00:00,1.1500000,1.1615000,1.1299000,1.1414000,51927467
AKMB,W,20/06/22,00:00:00,1.1414000,1.1600000,1.1354000,1.1382000,28763274
AKMB,W,27/06/22,00:00:00,1.1405000,1.1644000,1.1367000,1.1567000,29660653
AKMB,W,04/07/22,00:00:00,1.1599000,1.2159000,1.1425000,1.1513000,23540820
AKMB,W,11/07/22,00:00:00,1.1550000,1.1736000,1.1449000,1.1583000,24684566
AKMB,W,18/07/22,00:00:00,1.1583000,1.1724000,1.1416000,1.1612000,32139132
AKMB,W,25/07/22,00:00:00,1.1681000,1.1830000,1.1500000,1.1635000,22609312
AKMB,W,01/08/22,00:00:00,1.1674000,1.1818000,1.1506000,1.1709000,33225833
AKMB,W,08/08/22,00:00:00,1.1710000,1.1854000,1.1620000,1.1624000,21739385
AKMB,W,15/08/22,00:00:00,1.1664000,1.1812000,1.1554000,1.1653000,19448217
AKMB,W,22/08/22,00:00:00,1.1699000,1.1878000,1.1650000,1.1739000,19399724
AKMB,W,29/08/22,00:00:00,1.1740000,1.1944000,1.1713000,1.1868000,42363089
AKMB,W,05/09/22,00:00:00,1.1870000,1.2068000,1.1850000,1.1898000,27150804
AKMB,W,12/09/22,00:00:00,1.1912000,1.2108000,1.1863000,1.2052000,55902987
AKMB,W,19/09/22,00:00:00,1.2075000,1.2133000,1.1338000,1.1520000,58364443
AKMB,W,26/09/22,00:00:00,1.1520000,1.1663000,1.1126000,1.1470000,51540727
AKMB,W,03/10/22,00:00:00,1.1470000,1.1816000,1.1317000,1.1615000,33800785
AKMB,W,10/10/22,00:00:00,1.1615000,1.1900000,1.1615000,1.1813000,23357104
AKMB,W,17/10/22,00:00:00,1.1811000,1.1976000,1.1652000,1.1725000,24300420
AKMB,W,24/10/22,00:00:00,1.1764000,1.1978000,1.1764000,1.1863000,18197631
AKMB,W,31/10/22,00:00:00,1.1901000,1.2112000,1.1823000,1.1970000,22562988
AKMB,W,07/11/22,00:00:00,1.1948000,1.1990000,1.1814000,1.1860000,21902583
