Date,Open,High,Low,Close,Volume
2020-12-14,100.69,101.06,100.53,100.94,16692
2020-12-21,100.85,101.34,98.95,100.83,185557
2020-12-28,101.24,102.88,101.24,102.79,74591
2021-01-04,103.9,109.19,103.35,108.93,7793
2021-01-11,108.02,110.89,108.0,109.03,100938
2021-01-18,107.91,110.16,105.03,106.13,41073
2021-01-25,107.51,107.68,102.25,102.64,131063
2021-02-01,102.81,106.75,102.3,106.1,1856
2021-02-08,107.39,108.44,104.07,105.96,108694
2021-02-15,108.79,109.72,105.01,107.75,8936
2021-02-22,106.96,108.56,105.0,105.54,21316
2021-03-01,105.54,109.93,105.54,109.88,26752
2021-03-08,110.18,114.6,109.52,114.47,81959
2021-03-15,114.47,116.28,109.39,112.25,14270
2021-03-22,112.26,113.76,111.16,113.35,49656
2021-03-29,113.49,115.9,112.95,114.28,16753
2021-04-05,115.05,116.05,110.0,112.53,81850
2021-04-12,113.8,117.63,112.0,117.01,16839
2021-04-19,117.03,118.0,115.08,117.91,48834
2021-04-26,117.0,118.58,114.62,114.89,9525
2021-05-03,115.65,119.7,115.15,119.6,9005
2021-05-10,119.7,121.0,117.45,119.65,22515
2021-05-17,120.0,126.4,118.7,120.4,51340
2021-05-24,120.5,122.45,120.15,121.1,57101
2021-05-31,122.45,125.9,120.6,124.9,22270
2021-06-07,125.5,132.75,124.3,127.1,50241
2021-06-14,127.6,130.0,124.3,124.95,43919
2021-06-21,124.95,128.0,124.75,126.25,62459
2021-06-28,126.3,128.55,124.0,127.75,91154
2021-07-05,128.35,132.65,127.0,127.95,67456
2021-07-12,128.6,132.0,124.0,125.45,364937
2021-07-19,125.45,125.65,122.6,124.65,67234
2021-07-26,124.65,128.45,123.05,125.5,33611
2021-08-02,125.6,131.5,125.15,127.1,131749
2021-08-09,127.7,132.0,126.05,128.9,450719
2021-08-16,128.9,131.95,127.0,127.55,67986
2021-08-23,129.5,130.6,127.0,128.5,118238
2021-08-30,128.5,133.0,128.5,133.0,124677
2021-09-06,133.0,140.8,132.65,134.15,138437
2021-09-13,135.0,140.0,134.15,135.35,180754
2021-09-20,136.1,140.0,132.25,136.55,128869
2021-09-27,136.65,141.0,133.15,137.0,249015
2021-10-04,137.0,142.25,136.7,141.7,301832
2021-10-11,141.7,149.05,140.0,142.2,385792
2021-10-18,142.25,150.15,141.05,141.5,111819
2021-10-25,141.5,146.0,138.3,139.8,81588
2021-11-01,140.3,143.3,138.45,139.95,94897
2021-11-08,139.95,142.05,137.2,137.9,228706
2021-11-15,137.95,142.4,135.0,135.05,158423
2021-11-22,135.1,138.95,125.0,129.68,306896
2021-11-29,129.72,138.6,128.0,132.73,229591
2021-12-06,133.89,136.9,129.61,130.21,208668
2021-12-13,130.95,134.45,121.7,129.18,792150
2021-12-20,129.19,131.34,125.05,129.64,486939
2021-12-27,129.65,135.5,129.27,134.05,517252
2022-01-03,134.06,137.59,126.0,131.12,60223
2022-01-10,131.12,137.0,122.9,127.11,761946
2022-01-17,127.11,129.27,114.92,119.2,796410
2022-01-24,119.21,123.06,110.1,120.6,1329189
2022-01-31,120.6,125.92,119.1,122.0,1138916
2022-02-07,122.0,129.24,120.1,122.2,505161
2022-02-14,122.2,128.86,119.0,119.72,295912
2022-02-21,121.0,122.1,71.0,88.8,1434471
2022-03-28,88.82,127.98,88.68,102.74,1151165
2022-04-04,102.78,104.54,93.62,94.8,822049
2022-04-11,94.8,96.98,88.8,90.08,235955
2022-04-18,90.08,93.48,82.5,87.08,81626
2022-04-25,87.1,97.18,82.0,93.78,124906
2022-05-02,93.8,98.2,90.1,91.56,111675
2022-05-09,91.54,93.0,87.0,89.44,161033
2022-05-16,89.44,95.0,87.0,91.0,67286
2022-05-23,91.04,92.48,82.86,91.0,157194
2022-05-30,91.98,92.1,85.02,85.78,336984
2022-06-06,85.64,89.96,84.9,86.52,60777
2022-06-13,87.5,89.64,85.5,88.0,124776
2022-06-20,88.02,89.8,86.3,87.92,196143
2022-06-27,87.92,88.92,81.0,83.12,351203
2022-07-04,83.3,84.7,79.0,82.64,223710
2022-07-11,84.14,84.7,77.5,78.22,141507
2022-07-18,78.68,78.9,75.32,77.98,98175
2022-07-25,78.04,86.84,77.92,81.74,137404
2022-08-01,81.8,83.32,75.1,76.12,175351
2022-08-08,76.22,80.3,75.9,78.86,358504
2022-08-15,79.66,82.04,77.9,80.22,21910
2022-08-22,80.7,82.6,79.18,82.6,94473
2022-08-29,82.6,88.54,82.32,88.3,273707
2022-09-05,88.32,89.98,83.68,85.94,240250
2022-09-12,85.94,88.0,85.14,86.94,98001
2022-09-19,87.0,88.98,68.72,75.92,466169
2022-09-26,76.08,78.82,67.34,71.7,266814
2022-10-03,72.0,78.9,70.54,74.24,271184
2022-10-10,74.24,78.76,73.02,76.98,21749
2022-10-17,76.98,82.08,73.64,82.0,243030
2022-10-24,82.0,87.96,80.0,86.7,122043
2022-10-31,87.98,90.72,85.2,86.78,145085
2022-11-07,86.78,89.4,86.06,87.88,398106
