Date,Open,High,Low,Close,Volume
2020-12-14,101.07,102.11,101.07,101.94,5779
2020-12-21,103.33,104.43,98.9,100.45,387565
2020-12-28,100.6,103.77,98.35,103.53,204299
2021-01-04,104.34,111.22,103.0,110.75,22910
2021-01-11,110.75,113.23,107.02,109.16,406528
2021-01-18,109.16,114.06,107.21,113.12,463471
2021-01-25,118.07,119.35,110.7,111.5,600914
2021-02-01,111.62,118.76,111.62,116.21,2063654
2021-02-08,116.72,123.46,115.24,122.77,1592601
2021-02-15,123.3,162.98,119.15,122.0,1996786
2021-02-22,121.99,121.99,108.65,109.7,1288533
2021-03-01,112.76,114.0,105.11,105.15,1281942
2021-03-08,105.2,105.87,95.34,102.63,1381371
2021-03-15,102.63,107.4,101.01,102.74,1236757
2021-03-22,104.1,105.75,98.48,101.19,1537799
2021-03-29,101.0,107.3,98.72,104.38,1820635
2021-04-05,104.78,107.4,100.06,102.5,1467651
2021-04-12,103.0,103.0,98.36,99.71,2720006
2021-04-19,100.5,102.9,99.8,102.17,1406146
2021-04-26,102.01,103.55,99.8,100.78,1419916
2021-05-03,100.78,100.78,96.5,97.98,199944
2021-05-10,97.98,97.98,93.82,95.8,1223717
2021-05-17,96.74,98.7,96.28,97.4,987132
2021-05-24,97.42,101.4,97.2,99.56,1296780
2021-05-31,99.58,102.72,98.28,98.64,907514
2021-06-07,98.66,98.66,95.0,96.3,1028623
2021-06-14,96.4,96.4,92.12,94.2,2278585
2021-06-21,94.0,96.62,93.0,96.3,457200
2021-06-28,96.32,97.32,93.02,93.9,1203524
2021-07-05,93.9,94.76,90.9,93.1,3305919
2021-07-12,93.0,95.52,92.6,93.52,1042955
2021-07-19,93.52,93.78,88.08,88.38,2215187
2021-07-26,88.16,88.16,77.66,82.4,3200935
2021-08-02,83.58,84.5,81.5,81.52,1483008
2021-08-09,82.6,86.6,81.58,81.94,787800
2021-08-16,82.0,82.24,76.16,78.5,2284923
2021-08-23,78.6,83.8,78.14,81.56,1037264
2021-08-30,81.56,85.0,79.9,83.7,1197149
2021-09-06,84.32,86.74,82.8,84.86,1099425
2021-09-13,84.86,85.2,79.02,81.02,678825
2021-09-20,81.02,82.02,78.02,79.06,1136989
2021-09-27,79.04,81.54,78.04,78.92,493596
2021-10-04,78.92,82.58,76.06,80.4,386505
2021-10-11,81.5,82.58,80.3,81.18,1778711
2021-10-18,81.2,83.9,79.0,82.0,765970
2021-10-25,82.0,82.32,78.0,78.62,433427
2021-11-01,78.62,80.6,77.08,77.54,233824
2021-11-08,77.64,83.32,77.04,82.96,1178552
2021-11-15,82.96,84.82,79.52,81.2,1070580
2021-11-22,81.94,83.3,80.42,81.28,312279
2021-11-29,81.26,82.28,75.52,75.76,462688
2021-12-06,76.82,81.82,75.98,79.96,841803
2021-12-13,79.98,81.0,75.88,77.48,638563
2021-12-20,78.9,78.9,74.06,75.72,1108837
2021-12-27,75.92,76.64,73.4,76.22,461817
2022-01-03,76.42,76.46,73.32,75.76,202648
2022-01-10,75.76,78.98,73.46,77.34,642407
2022-01-17,77.34,81.48,76.16,78.4,721601
2022-01-24,78.54,80.44,72.08,74.12,731770
2022-01-31,74.14,77.5,73.46,75.5,591512
2022-02-07,75.04,77.84,73.32,74.7,390125
2022-02-14,74.7,77.0,74.0,75.44,563370
2022-02-21,75.44,81.0,65.5,78.04,680730
