<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.AKCH:TQTF,W,14/12/20,00:00:00,101.0700000,102.1100000,101.0700000,101.9400000,5779
MOEX.AKCH:TQTF,W,21/12/20,00:00:00,103.3300000,104.4300000,98.9000000,100.4500000,387565
MOEX.AKCH:TQTF,W,28/12/20,00:00:00,100.6000000,103.7700000,98.3500000,103.5300000,204299
MOEX.AKCH:TQTF,W,04/01/21,00:00:00,104.3400000,111.2200000,103.0000000,110.7500000,22910
MOEX.AKCH:TQTF,W,11/01/21,00:00:00,110.7500000,113.2300000,107.0200000,109.1600000,406528
MOEX.AKCH:TQTF,W,18/01/21,00:00:00,109.1600000,114.0600000,107.2100000,113.1200000,463471
MOEX.AKCH:TQTF,W,25/01/21,00:00:00,118.0700000,119.3500000,110.7000000,111.5000000,600914
MOEX.AKCH:TQTF,W,01/02/21,00:00:00,111.6200000,118.7600000,111.6200000,116.2100000,2063654
MOEX.AKCH:TQTF,W,08/02/21,00:00:00,116.7200000,123.4600000,115.2400000,122.7700000,1592601
MOEX.AKCH:TQTF,W,15/02/21,00:00:00,123.3000000,162.9800000,119.1500000,122.0000000,1996786
MOEX.AKCH:TQTF,W,22/02/21,00:00:00,121.9900000,121.9900000,108.6500000,109.7000000,1288533
MOEX.AKCH:TQTF,W,01/03/21,00:00:00,112.7600000,114.0000000,105.1100000,105.1500000,1281942
MOEX.AKCH:TQTF,W,08/03/21,00:00:00,105.2000000,105.8700000,95.3400000,102.6300000,1381371
MOEX.AKCH:TQTF,W,15/03/21,00:00:00,102.6300000,107.4000000,101.0100000,102.7400000,1236757
MOEX.AKCH:TQTF,W,22/03/21,00:00:00,104.1000000,105.7500000,98.4800000,101.1900000,1537799
MOEX.AKCH:TQTF,W,29/03/21,00:00:00,101.0000000,107.3000000,98.7200000,104.3800000,1820635
MOEX.AKCH:TQTF,W,05/04/21,00:00:00,104.7800000,107.4000000,100.0600000,102.5000000,1467651
MOEX.AKCH:TQTF,W,12/04/21,00:00:00,103.0000000,103.0000000,98.3600000,99.7100000,2720006
MOEX.AKCH:TQTF,W,19/04/21,00:00:00,100.5000000,102.9000000,99.8000000,102.1700000,1406146
MOEX.AKCH:TQTF,W,26/04/21,00:00:00,102.0100000,103.5500000,99.8000000,100.7800000,1419916
MOEX.AKCH:TQTF,W,03/05/21,00:00:00,100.7800000,100.7800000,96.5000000,97.9800000,199944
MOEX.AKCH:TQTF,W,10/05/21,00:00:00,97.9800000,97.9800000,93.8200000,95.8000000,1223717
MOEX.AKCH:TQTF,W,17/05/21,00:00:00,96.7400000,98.7000000,96.2800000,97.4000000,987132
MOEX.AKCH:TQTF,W,24/05/21,00:00:00,97.4200000,101.4000000,97.2000000,99.5600000,1296780
MOEX.AKCH:TQTF,W,31/05/21,00:00:00,99.5800000,102.7200000,98.2800000,98.6400000,907514
MOEX.AKCH:TQTF,W,07/06/21,00:00:00,98.6600000,98.6600000,95.0000000,96.3000000,1028623
MOEX.AKCH:TQTF,W,14/06/21,00:00:00,96.4000000,96.4000000,92.1200000,94.2000000,2278585
MOEX.AKCH:TQTF,W,21/06/21,00:00:00,94.0000000,96.6200000,93.0000000,96.3000000,457200
MOEX.AKCH:TQTF,W,28/06/21,00:00:00,96.3200000,97.3200000,93.0200000,93.9000000,1203524
MOEX.AKCH:TQTF,W,05/07/21,00:00:00,93.9000000,94.7600000,90.9000000,93.1000000,3305919
MOEX.AKCH:TQTF,W,12/07/21,00:00:00,93.0000000,95.5200000,92.6000000,93.5200000,1042955
MOEX.AKCH:TQTF,W,19/07/21,00:00:00,93.5200000,93.7800000,88.0800000,88.3800000,2215187
MOEX.AKCH:TQTF,W,26/07/21,00:00:00,88.1600000,88.1600000,77.6600000,82.4000000,3200935
MOEX.AKCH:TQTF,W,02/08/21,00:00:00,83.5800000,84.5000000,81.5000000,81.5200000,1483008
MOEX.AKCH:TQTF,W,09/08/21,00:00:00,82.6000000,86.6000000,81.5800000,81.9400000,787800
MOEX.AKCH:TQTF,W,16/08/21,00:00:00,82.0000000,82.2400000,76.1600000,78.5000000,2284923
