,feature,Loss
250,CDL_UNIQUE3RIVER,1.6915768740586261
201,CDL_BREAKAWAY,1.6904017598703254
144,AC_5:1d,1.6902060662190324
29,BBM_50_3.0:1d,1.6900104178724389
37,Open:STOCHd:3:3:1d,1.668791285201066
155,BEARS_14_7:1d,1.6465677179962894
134,MACDs_5:1d,1.645804357904497
233,CDL_MATHOLD,1.6231884057971016
128,MACD_3:1d,1.600185528756957
237,CDL_PIERCING,1.5563298490127757
154,BEARS_14_5:1d,1.5545243619489557
210,CDL_EVENINGDOJISTAR,1.511100778798094
21,BBU_20_2.0:1d,1.4623955431754871
226,CDL_KICKING,1.4428671165929718
203,CDL_CONCEALBABYSWALL,1.441525226691467
80,Low:STOCH:9:3:1d,1.4413576659304894
238,CDL_RICKSHAWMAN,1.4403531188291323
131,MACDs_1:1d,1.4194299011052938
71,Close:STOCH:9:3:1d,1.4190996859369545
229,CDL_LONGLEGGEDDOJI,1.3961605584642232
95,Close:STOCH:20:3:1d,1.3959981386691485
121,OBV_7:1d,1.3938901149959342
204,CDL_COUNTERATTACK,1.3938901149959342
143,AC_3:1d,1.3740102468560782
124,OBV_50:1d,1.3727315030246625
24,BBU_20_3.0:1d,1.350093109869646
220,CDL_HIKKAKEMOD,1.3499359944140579
235,CDL_MORNINGSTAR,1.349464867380177
14,EMA_89:1d,1.3280521901211557
139,MACDh_5:1d,1.3272790778903247
118,OBV_2:1d,1.326198231735691
34,Close:STOCHd:3:3:1d,1.30475302889096
113,High:STOCH:50:3:1d,1.304601048340128
236,CDL_ONNECK,1.3033864773652974
116,Low:STOCH:50:3:1d,1.2811553692056836
22,BBL_20_3.0:1d,1.280111718840917
179,waves_STOCHRSIk_14_max:1d,1.2594752186588922
20,BBM_20_2.0:1d,1.2575687005123428
112,High:STOCHd:50:3:1d,1.2345679012345678
69,Close:STOCHk:9:3:1d,1.2331316891577477
142,AC_2:1d,1.2122625014570463
217,CDL_HARAMICROSS,1.212121212121212
135,MACDs_7:1d,1.1910322279308736
41,High:STOCH:3:3:1d,1.190337262224297
251,CDL_UPSIDEGAP2CROWS,1.189781873323224
117,OBV_1:1d,1.1889497610444109
